Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Note,Alteration,Annotation,Fxnal Cat
3' end of Rv3480c,Mb3509c,, 274 aa, 497 aa ,,,100.00%,274 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv3480c exists as a single gene. In Mycobacterium bovis, a frameshift due to a 2 bp deletion (gt-*) splits Rv3480c into 2 parts, Mb3509c and Mb3510c.",Frameshift in M. bovis AF2122/97,conserved hypothetical protein [second part],lipid metabolism
Rv0166,Mb0172,fadD5, 554 aa, 554 aa ,,,99.60%,554 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty-acid-coa ligase fadd5 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0214,Mb0220,fadD4, 537 aa, 537 aa ,,,99.80%,537 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty-acid-coa ligase fadd4 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0230c,Mb0235c,php, 326 aa, 326 aa ,,,99.70%,326 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable phosphotriesterase php parathion hydrolase pte aryldialkylphosphatase paraoxonase a-esterase aryltriphosphatase paraoxon hydrolase,lipid metabolism
Rv0244c,Mb0250c,fadE5, 611 aa, 611 aa ,,,99.70%,611 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa dehydrogenase fade5,lipid metabolism
Rv0404,Mb0411,fadD30, 585 aa, 585 aa ,,,99.80%,585 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),fatty-acid-amp ligase fadd30 fatty-acid-amp synthetase fatty-acid-amp synthase,lipid metabolism
Rv0436c,Mb0444c,pssA, 286 aa, 286 aa ,,,99.70%,286 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable cdp-diacylglycerol--serine o-phosphatidyltransferase pssa ps synthase phosphatidylserine synthase,lipid metabolism
Rv0642c,Mb0661c,mmaA4, 301 aa, 301 aa ,,,99.70%,301 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),methoxy mycolic acid synthase 4 mmaa4 methyl mycolic acid synthase 4 mma4 hydroxy mycolic acid synthase,lipid metabolism
Rv0644c,Mb0663c,mmaA2, 287 aa, 287 aa ,,,99.70%,287 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),methoxy mycolic acid synthase 2 mmaa2 methyl mycolic acid synthase 2 mma2 hydroxy mycolic acid synthase,lipid metabolism
Rv0752c,Mb0774c,fadE9, 390 aa, 390 aa ,,,99.50%,390 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa dehydrogenase fade9,lipid metabolism
Rv0859,Mb0882,fadA, 403 aa, 403 aa ,,,99.80%,403 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible acyl-coa thiolase fada,lipid metabolism
Rv0860,Mb0883,fadB, 720 aa, 720 aa ,,,99.90%,720 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty oxidation protein fadb,lipid metabolism
Rv0972c,Mb0997c,fadE12, 388 aa, 388 aa ,,,99.70%,388 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),acyl-coa dehydrogenase fade12,lipid metabolism
Rv0973c,Mb0998c,accA2, 667 aa, 667 aa ,,,99.90%,667 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acetyl-/propionyl-coenzyme a carboxylase alpha chain alpha subunit acca2: biotin carboxylase b biotin carboxyl carrier protein bccp,lipid metabolism
Rv0974c,Mb0999c,accD2, 529 aa, 529 aa ,,,99.80%,529 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acetyl-/propionyl-coa carboxylase beta subunit accd2,lipid metabolism
Rv1153c,Mb1184c,omt, 282 aa, 282 aa ,,,99.30%,282 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable o-methyltransferase omt,lipid metabolism
Rv1175c,Mb1208c,fadH, 674 aa, 674 aa ,,,99.60%,674 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable nadph dependent 2c4-dienoyl-coa reductase fadh 2c4-dienoyl coenzyme a reductase 4-enoyl-coa reductase,lipid metabolism
Rv1425,Mb1460,, 459 aa, 459 aa ,,,99.80%,459 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv1472,Mb1507,echA12, 285 aa, 285 aa ,,,99.60%,285 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible enoyl-coa hydratase echa12 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv1521,Mb1548,fadD25, 583 aa, 583 aa ,,,99.80%,583 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty-acid-amp ligase fadd25 fatty-acid-amp synthetase fatty-acid-amp synthase,lipid metabolism
Rv1527c,Mb1554c,pks5, 2108 aa, 2108 aa ,,,99.90%,2108 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable polyketide synthase pks5,lipid metabolism
Rv1618,Mb1644,tesB1, 300 aa, 300 aa ,,,99.70%,300 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa thioesterase ii tesb1,lipid metabolism
Rv1661,Mb1689,pks7, 2126 aa, 2126 aa ,,,99.90%,2126 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable polyketide synthase pks7,lipid metabolism
Rv1662,Mb1690,pks8, 1602 aa, 1602 aa ,,,99.70%,1602 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable polyketide synthase pks8,lipid metabolism
Rv1664,Mb1692,pks9, 1017 aa, 1017 aa ,,,99.80%,1017 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable polyketide synthase pks9,lipid metabolism
Rv1722,Mb1751,, 494 aa, 494 aa ,,,99.80%,494 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible carboxylase,lipid metabolism
Rv1866,Mb1897,, 778 aa, 778 aa ,,,99.90%,778 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),conserved protein,lipid metabolism
Rv1912c,Mb1947c,fadB5, 334 aa, 334 aa ,,,99.70%,334 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible oxidoreductase fadb5,lipid metabolism
Rv2048c,Mb2074c,pks12, 4151 aa, 4151 aa ,,,99.40%,4151 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),polyketide synthase pks12,lipid metabolism
Rv2377c,Mb2398c,mbtH, 71 aa, 71 aa ,,,98.60%,71 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),putative conserved protein mbth,lipid metabolism
Rv2379c,Mb2400c,mbtF, 1461 aa, 1461 aa ,,,99.90%,1461 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),peptide synthetase mbtf peptide synthase,lipid metabolism
Rv2383c,Mb2404c,mbtB, 1414 aa, 1414 aa ,,,99.90%,1414 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phenyloxazoline synthase mbtb phenyloxazoline synthetase,lipid metabolism
Rv2482c,Mb2507c,plsB2, 789 aa, 789 aa ,,,99.70%,789 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable glycerol-3-phosphate acyltransferase plsb2 gpat,lipid metabolism
Rv2483c,Mb2508c,plsC, 580 aa, 580 aa ,,,99.80%,580 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible transmembrane phospholipid biosynthesis bifunctional enzyme plsc: putative l-3-phosphoserine phosphatase o-phosphoserine phosphohydrolase psp pspase b 1-acyl-sn-glycerol-3-phosphate acyltransferase 1-agp acyltransferase 1-agpat lysophosphatidic acid acyltransferase lpaat,lipid metabolism
Rv2484c,Mb2509c,, 491 aa, 491 aa ,,,99.80%,491 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv2502c,Mb2530c,accD1, 529 aa, 529 aa ,,,99.60%,529 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acetyl-/propionyl-coa carboxylase beta subunit accd1,lipid metabolism
Rv2590,Mb2621,fadD9, 1168 aa, 1168 aa ,,,99.80%,1168 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty-acid-coa ligase fadd9 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv2605c,Mb2637c,tesB2, 281 aa, 281 aa ,,,99.60%,281 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa thioesterase ii tesb2 teii,lipid metabolism
Rv2611c,Mb2643c,, 316 aa, 316 aa ,,,99.40%,316 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyltransferase,lipid metabolism
Rv2724c,Mb2743c,fadE20, 386 aa, 386 aa ,,,99.50%,386 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa dehydrogenase fade20,lipid metabolism
Rv2794c,Mb2817c,pptt, 227 aa, 227 aa ,,,99.60%,227 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phosphopantetheinyl transferase pptt coa:apo-[acp]pantetheinephosphotransferase coa:apo-[acyl-carrier protein]pantetheinephosphotransferase,lipid metabolism
Rv2831,Mb2855,echA16, 249 aa, 249 aa ,,,99.60%,249 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable enoyl-coa hydratase echa16 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv2930,Mb2955,fadD26, 583 aa, 583 aa ,,,99.80%,583 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),fatty-acid-amp ligase fadd26 fatty-acid-amp synthetase fatty-acid-amp synthase,lipid metabolism
Rv2931,Mb2956,ppsA, 1876 aa, 1876 aa ,,,99.60%,1876 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phenolpthiocerol synthesis type-i polyketide synthase ppsa,lipid metabolism
Rv2932,Mb2957,ppsB, 1538 aa, 1538 aa ,,,99.90%,1538 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phenolpthiocerol synthesis type-i polyketide synthase ppsb,lipid metabolism
Rv2934,Mb2959,ppsD, 1827 aa, 1827 aa ,,,99.90%,1827 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phenolpthiocerol synthesis type-i polyketide synthase ppsd,lipid metabolism
Rv2935,Mb2960,ppsE, 1488 aa, 1488 aa ,,,99.90%,1488 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),phenolpthiocerol synthesis type-i polyketide synthase ppse,lipid metabolism
Rv2941,Mb2966,fadD28, 580 aa, 580 aa ,,,99.70%,580 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),fatty-acid-amp ligase fadd28 fatty-acid-amp synthetase fatty-acid-amp synthase,lipid metabolism
Rv2950c,Mb2974c,fadD29, 619 aa, 619 aa ,,,99.80%,619 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),fatty-acid-amp ligase fadd29 fatty-acid-amp synthetase fatty-acid-amp synthase,lipid metabolism
Rv2982c,Mb3006c,gpdA2, 334 aa, 334 aa ,,,99.70%,334 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable glycerol-3-phosphate dehydrogenase [nadpb] gpda2 nadph-dependent glycerol-3-phosphate dehydrogenase,lipid metabolism
Rv3087,Mb3114,, 472 aa, 472 aa ,,,99.60%,472 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv3280,Mb3308,accD5, 548 aa, 548 aa ,,,99.80%,548 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable propionyl-coa carboxylase beta chain 5 accd5 pccase propanoyl-coa:carbon dioxide ligase,lipid metabolism
Rv3371,Mb3406,, 446 aa, 446 aa ,,,99.60%,446 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv3383c,Mb3415c,idsB, 350 aa, 350 aa ,,,99.70%,350 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible polyprenyl synthetase idsb polyprenyl transferase polyprenyl diphosphate synthase,lipid metabolism
Rv3392c,Mb3424c,cmaA1, 287 aa, 287 aa ,,,99.70%,287 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),cyclopropane-fatty-acyl-phospholipid synthase 1 cmaa1 cyclopropane fatty acid synthase cfa synthase cyclopropane mycolic acid synthase 1,lipid metabolism
Rv3399,Mb3432,, 348 aa, 348 aa ,,,99.70%,348 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible s-adenosylmethionine-dependent methyltransferase,lipid metabolism
Rv3505,Mb3535,fadE27, 373 aa, 373 aa ,,,99.70%,373 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa dehydrogenase fade27,lipid metabolism
Rv3516,Mb3545,echA19, 263 aa, 263 aa ,,,99.60%,263 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible enoyl-coa hydratase echa19 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv3522,Mb3552,ltp4, 354 aa, 354 aa ,,,99.70%,354 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible lipid transfer protein or keto acyl-coa thiolase ltp4,lipid metabolism
Rv3561,Mb3591,fadD3, 507 aa, 507 aa ,,,99.80%,507 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable fatty-acid-coa ligase fadd3 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv3563,Mb3593,fadE32, 319 aa, 319 aa ,,,99.40%,319 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),probable acyl-coa dehydrogenase fade32,lipid metabolism
Rv3667,Mb3691,acs, 651 aa, 651 aa ,,,99.80%,651 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),acetyl-coenzyme a synthetase acs acetate--coa ligase acetyl-coa synthetase acetyl-coa synthase acyl-activating enzyme acetate thiokinase acetyl-activating enzyme acetate--coenzyme a ligase acetyl-coenzyme a synthase,lipid metabolism
Rv3740c,Mb3766c,, 448 aa, 448 aa ,,,99.80%,448 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv3800c,Mb3830c,pks13, 1733 aa, 1733 aa ,,,99.90%,1733 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),polyketide synthase pks13,lipid metabolism
Rv3801c,Mb3831c,fadD32, 637 aa, 637 aa ,,,99.80%,637 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),fatty-acid-amp ligase fadd32 fatty-acid-amp synthetase fatty-acid-amp synthase. also shown to have acyl-acp ligase activity.,lipid metabolism
Rv3820c,Mb3850c,papA2, 468 aa, 468 aa ,,,99.80%,468 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible conserved polyketide synthase associated protein papa2,lipid metabolism
5' end of Rv0221,Mb0227,, 257 aa, 469 aa ,,,98.30%,234 aa overlap,,," RD10 In Mycobacterium bovis, a 1902 bp deletion leads to a shorter product with a different COOH part, compared to its homolog in Mycobacterium tuberculosis strain H37Rv (257 aa versus 469 aa). It also leads to the deletion of the next protein, echA1 (Rv0222).",Truncated protein in M. bovis AF2122/97,possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
