,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
5' end of Rv2160A/Mb2184c,Rv2160A,Mb2184c,0,CONSERVED HYPOTHETICAL PROTEIN,regulatory proteins,-,-,-,-,Variable,80.44650201,8.188037297,-3.296440112,0.000801768,-,-,-,-,-
3' end of Rv2160c/Mb2184c,Rv2160c,Mb2184c,0,CONSERVED HYPOTHETICAL PROTEIN,regulatory proteins,-,-,-,-,Variable,0,8.188037297,-3.296440112,0.000801768,-,-,-,-,-
Rv3137/Mb3161,Rv3137,Mb3161,0,PROBABLE MONOPHOSPHATASE,intermediary metabolism and respiration,-,-,-,-,Variable,191.7137819,19.60379798,-3.289748964,0.000142132,-0.987537345,0.0000153757,-0.870339071,0.0000608591,-0.928938208
Rv2331A/Mb2359,Rv2331A,Mb2359,0,HYPOTHETICAL PROTEIN,conserved hypotheticals ,-,-,-,-,Variable,187.2879661,20.53002333,-3.189451032,0.000000257,-,-,-,-,-
Rv1899c/Mb1934c,Rv1899c,Mb1934c,lppD,POSSIBLE LIPOPROTEIN LPPD,cell wall and cell processes,-,-,-,-,Variable,837.9693549,96.58524807,-3.117022723,0.00000286,-1.601013802,0.000119549,-0.858409973,0.016436147,-1.229711888
Rv3420c/Mb3454c,Rv3420c,Mb3454c,rimI,ribosomal-protein-alanine acetyltransferase rimi %28acetylating enzyme for n-terminal of ribosomal protein s18%29,information pathways,-,-,-,-,Identical,624.8014071,70.54777311,-3.080272906,0.0000000000000000000000000000000000000000000000000000000000000122103,-0.580406999,0.094524741,-0.722548027,0.034841272,-0.651477513
Rv3312A/Mb3341c,Rv3312A,Mb3341c,0,secreted protein antigen,cell wall and cell processes,-,-,-,-,Identical,490.6603922,25.3262939,-3.054118387,0.000000000000256575,-,-,-,-,-
Rv0988/Mb1015,Rv0988,Mb1015,0,POSSIBLE CONSERVED EXPORTED PROTEIN,cell wall and cell processes,-,-,-,-,Variable,28.19837519,3.43569328,-3.036938884,0.015574325,-2.552704061,0.00000000000296879,-2.337713025,0.00000000000996009,-2.445208543
Rv2161c/Mb2185c,Rv2161c,Mb2185c,0,conserved protein,intermediate metabolism and respiration,-,-,-,-,Identical,601.6935495,59.86237227,-2.992911252,0.0000000000000000000000000000487444,-2.90859737,0.0000000000000940786,-2.777441056,0.000000000000197262,-2.843019213
Rv1184c/Mb1216c,Rv1184c,Mb1216c,chp2,possible exported protein,cell wall and cell processes,-,-,-,-,Identical,997.6495856,47.29454072,-2.989139273,0.00000000000268684,-1.778011113,0.0000000394023,-1.258291118,0.00000541985,-1.518151115
Rv3680/Mb3705,Rv3680,Mb3705,0,probable anion transporter atpase,cell wall and cell processes,-,-,-,-,Identical,450.9196389,60.20398434,-2.928355932,0.0000000000000000000000000000000000000000000000000000000000000125721,-0.412635236,0.00000440177,-0.535735346,0.00000015036,-0.474185291
Rv3822/Mb3852,Rv3822,Mb3852,0,CONSERVED HYPOTHETICAL PROTEIN,conserved hypotheticals,-,-,-,-,Variable,550.4241398,74.25342331,-2.890014298,0.0000185,-,-,-,-,-
5' end of Rv3135/Mb3159,Rv3135,Mb3159,PPE50,ppe family protein ppe50,PE/PPE,-,-,-,-,Variable,958.8639696,132.9692038,-2.850234009,0.0000446,-0.140456893,0.764485151,-0.132569651,0.763352514,-0.136513272
3' end of Rv3479/Mb3508,Rv3479,Mb3508,0,HYPOTHETICAL TRANSMEMBRANE PROTEIN [SECOND PART],cell wall and cell processes,-,-,-,-,Variable,200.115726,28.83136373,-2.795123562,0.000410833,-2.418365064,0.000000000000797623,-2.357366905,0.00000000000144766,-2.387865984
Rv2331/Mb2358,Rv2331,Mb2358,0,hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,1032.088332,80.1148983,-2.773218453,0.00000000000000176333,-,-,-,-,-
Rv1180/Mb1213,Rv1180,Mb1213,pks3,probable polyketide beta-ketoacyl synthase pks4,lipid metabolism,-,-,-,-,Variable,271.6038588,39.77455647,-2.771586229,0.00000774,0.277029036,0.130031539,-0.080449753,0.655464547,0.098289641
Rv2450c/Mb2477c,Rv2450c,Mb2477c,rpfE,PROBABLE RESUSCITATION-PROMOTING FACTOR RPFE,cell wall and cell processes,-,-,-,-,Variable,402.5685343,59.67160486,-2.754117929,0.000123762,0.778828907,0.000449787,0.342254681,0.075123506,0.560541794
Rv1925/Mb1960,Rv1925,Mb1960,fadD31,probable acyl-coa ligase fadd31 %28acyl-coa synthetase%29 %28acyl-coa synthase%29,lipid metabolism,-,-,-,-,Identical,1771.129362,270.0534066,-2.686995541,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031081,-2.014962579,0.0000000000942458,-1.687099045,0.00000000137348,-1.851030812
Rv1387/Mb1422,Rv1387,Mb1422,PPE20,ppe family protein ppe20,PE/PPE,-,-,-,-,Variable,811.092345,127.10992,-2.673789552,0.004507,-0.95275101,0.001264105,-1.805687971,0.00000102836,-1.379219491
Rv3750c/Mb3776c,Rv3750c,Mb3776c,0,possible excisionase,insertion seqs and phages,-,-,-,-,Identical,868.5927657,137.4519901,-2.662371377,0.00000000000000000000000000000000000000000000000000000000814056,-,-,-,-,-
Rv3477/Mb3504,Rv3477,Mb3504,PE31,pe family protein pe31,PE/PPE,-,-,-,-,Variable,1334.376482,210.8578875,-2.661822872,0.000708472,-2.361532372,0.00000522347,-2.454614693,0.00000302648,-2.408073532
Rv1810/Mb1840,Rv1810,Mb1840,0,conserved protein,Conserved hypothetical protein,-,-,-,-,Identical,1501.413167,213.5937951,-2.60515487,0.0000000000000000000000000580451,-2.231418358,0.00000000000221802,-1.619557968,0.000000000254935,-1.925488163
Rv3823c/Mb3853c,Rv3823c,Mb3853c,mmpL8,conserved integral membrane transport protein mmpl8,cell wall and cell processes,mmpL8,"sulfolipid-1 (SL-1) synthesis, SL1278-WALL synthesis",Lipid biosyntheis,SL1278_CYTO = SL1278_WALL,Variable,221.2499166,36.45109039,-2.601643035,0.00030356,-,-,-,-,-
Rv2817c/Mb2841c,Rv2817c,Mb2841c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,23.82735548,2.906453402,-2.584822131,0.0000000000000000820551,-0.913542807,0.277309463,-0.327285895,0.698738603,-0.620414351
Rv3848/Mb3878,Rv3848,Mb3878,0,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,cell wall and cell processes,-,-,-,-,Variable,342.0299916,57.54054122,-2.57147214,0.001118274,-0.106472139,0.783248824,-0.620575403,0.07561944,-0.363523771
Rv1162/Mb1194,Rv1162,Mb1194,narH,probable respiratory nitrate reductase %28beta chain%29 narh,intermediate metabolism and respiration,"nitrate reductase narGHIJ, or fused narX",Nitrogen metabolism,Other,MKH2 + NO3 + 0.001 MOLYBDENUM = MK + NO2 + 2 H,Identical,281.8302911,26.03493688,-2.525514378,0.00000000000328271,-1.924695418,0.00000082143,-2.876690956,0.00000000465128,-2.400693187
Rv1196/Mb1228,Rv1196,Mb1228,PPE18,ppe family protein ppe18,PE/PPE,-,-,-,-,Variable,2978.373149,556.2690862,-2.420669678,0.00000314,-2.444980873,0.000000000000418402,-2.339951892,0.000000000000778287,-2.392466382
Rv1197/Mb1229,Rv1197,Mb1229,esxK,esat-6 like protein esxk %28esat-6 like protein 3%29,cell wall and cell processes,-,-,-,-,Identical,3567.139238,565.6133516,-2.411169627,0.00000000134829,-,-,-,-,-
Rv0118c/Mb0122c,Rv0118c,Mb0122c,oxcA,PROBABLE OXALYL-COA DECARBOXYLASE OXCA,intermediary metabolism and respiration,-,-,-,-,Variable,61.41953861,11.91917489,-2.365413306,0.000021,2.489513121,0.00000000122238,1.260114185,0.0000120039,1.874813653
Rv2332/Mb2360,Rv2332,Mb2360,mez,PROBABLE [NAD] DEPENDENT MALATE OXIDOREDUCTASE MEZ MALIC ENZYME NAD-MALIC ENZYME MALATE DEHYDROGENASE OXALOACETATE DECARBOXYLATING PYRUVIC-MALIC CARBOXYLASE NAD-ME,intermediary metabolism and respiration,malic enzyme (malate dehydrogenase (oxaloacetate-decarboxylating)),Pyruvate metabolism,Central carbon metabolism,MAL + NAD = CO2 + NADH + PYR,Variable,87.17651702,16.92488712,-2.364793353,0.0000208,-0.521784883,0.017802949,-0.982717024,0.0000980931,-0.752250953
Rv0840c/Mb0863c,Rv0840c,Mb0863c,pip,probable proline iminopeptidase pip %28prolyl aminopeptidase%29 %28pap%29,intermediate metabolism and respiration,-,-,-,-,Identical,38.46510396,6.857829398,-2.338496883,0.00000000000000000000000000000000000000338288,-0.174380866,0.451462537,-0.249112434,0.243440307,-0.21174665
Rv2814c/Mb2838c,Rv2814c,Mb2838c,0,PROBABLE TRANSPOSASE,insertion seqs and phages,-,-,-,-,Variable,10.28339438,2.067193227,-2.3145714,0.0000000487,-,-,-,-,-
3' end of Rv1101c/Mb1131c,Rv1101c,Mb1131c,0,CONSERVED MEMBRANE PROTEIN,cell wall and cell processes,-,-,-,-,Variable,190.6130605,39.01783749,-2.288441248,0.0000000786,-1.80145329,0.000302276,-1.601307452,0.000834067,-1.701380371
Rv3485c/Mb3515c,Rv3485c,Mb3515c,0,probable short-chain type dehydrogenase/reductase,intermediate metabolism and respiration,-,-,-,-,Identical,251.8342815,36.19502165,-2.272365166,0.00000000000331375,-0.055715656,0.727508098,-0.101396639,0.479543165,-0.078556147
Rv2386c/Mb2407c,Rv2386c,Mb2407c,mbtI,isochorismate synthase mbti,lipid metabolism,"isochorismate synthase entC, mbt1","Cofactor biosynthesis, Menaquinone biosynthesis",Cofactor biosynthesis,CHOR = ICHOR,Identical,86.04994541,17.48605155,-2.271169173,0.00000000000278408,-2.19905834,0.00000000506957,-1.313270103,0.00000561145,-1.756164221
Rv3327/Mb3360,Rv3327,Mb3360,0,probable transposase fusion protein,insertion seqs and phages,-,-,-,-,Identical,26.93062431,4.611464532,-2.268343346,0.0000000000000000000000302047,2.354757887,0.00000000941509,2.254028491,0.0000000190679,2.304393189
Rv0037c/Mb0038c,Rv0037c,Mb0038c,0,probable conserved integral membrane protein,cell wall and cell processes,-,-,-,-,Identical,84.99386516,18.40809978,-2.258642433,0.0000000000000000000000000000000000000000000000000421951,-1.229696888,0.085354246,-0.034517615,0.963035451,-0.632107252
5' end of Rv2290/Mb2312,Rv2290,Mb2312,lppOa,Probable conserved lipoprotein lppOa,cell wall and cell processes,-,-,-,-,Variable,560.9210593,117.9302121,-2.249864385,0.000000193,-1.597578245,0.00000571881,-1.408386915,0.0000249262,-1.50298258
Rv0134/Mb0139-4,Rv0134,Mb0139-4,ephf,possible epoxide hydrolase ephf epoxide hydratase arene-oxide hydratase,"virulence, detoxification, adaptation",-,-,-,-,Variable,264.673496,55.66991481,-2.249243952,0.0000399,-1.632299275,0.0000000881818,-1.225278593,0.0000041964,-1.428788934
Rv2076c/Mb2101c,Rv2076c,Mb2101c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,182.9656085,37.03897732,-2.247841723,0.000000000000000000000000000000133703,-,-,-,-,-
Rv1386/Mb1421,Rv1386,Mb1421,PE15,pe family protein pe15,PE/PPE,-,-,-,-,Identical,599.0748196,129.0653028,-2.244180119,0.000000000404004,-2.176586516,0.000000015616,-2.368162945,0.0000000050425,-2.272374731
Rv0846c/Mb0869c,Rv0846c,Mb0869c,0,PROBABLE OXIDASE,intermediary metabolism and respiration,-,-,-,-,Variable,54.52777925,11.5096212,-2.244151048,0.0000744,-0.201162094,0.52071674,-0.765673257,0.011910284,-0.483417676
5' end of Rv3894c/Mb3924c,Rv3894c,Mb3924c,eccc2,POSSIBLE CONSERVED MEMBRANE PROTEIN [FIRST PART],cell wall and cell processes,-,-,-,-,Variable,90.22869207,19.20848297,-2.231842689,0.00000113,-1.630532327,0.0000000716257,-1.053904866,0.0000201414,-1.342218596
Rv0936/Mb0961,Rv0936,Mb0961,pstA2,phosphate-transport integral membrane abc transporter psta2,cell wall and cell processes,phosphate transport via ATPase,"Transport reactions, Proton-linked active transport",Transport reaction,PI_xt + ATP = 2 PI + ADP ,Identical,135.0801267,30.67355242,-2.197833489,0.00000000000000000000000000000000000014734,-2.564555879,0.0000000000492619,-2.519221447,0.0000000000700334,-2.541888663
Rv0935/Mb0960,Rv0935,Mb0960,pstC1,phosphate-transport integral membrane abc transporter pstc1,cell wall and cell processes,phosphate transport via ATPase,"Transport reactions, Proton-linked active transport",Transport reaction,PI_xt + ATP = 2 PI + ADP ,Identical,359.5124123,81.79877461,-2.193107371,0.000000000000000000000000000000000709749,-,-,-,-,-
Rv3487c/Mb3517c,Rv3487c,Mb3517c,lipF,probable esterase/lipase lipf,intermediate metabolism and respiration,-,-,-,-,Identical,1199.045389,39.97365389,-2.185741033,0.000200771,-2.524188048,0.000000138307,-0.999733389,0.003351459,-1.761960719
Rv3686c/Mb3711c,Rv3686c,Mb3711c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,1478.779777,206.3728238,-2.184588583,0.000000000342093,-,-,-,-,-
Rv1195/Mb1227,Rv1195,Mb1227,PE13,pe family protein pe13,PE/PPE,-,-,-,-,Identical,5415.317546,1217.744996,-2.171745835,0.0000000000058011,-,-,-,-,-
Rv1361c/Mb1396c,Rv1361c,Mb1396c,PPE19,ppe family protein ppe19,PE/PPE,-,-,-,-,Variable,1747.648506,389.7772117,-2.164693403,0.0000356,-,-,-,-,-
Rv0276/Mb0282,Rv0276,Mb0282,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,391.9094478,80.22394418,-2.162641418,0.000000000000000000000000000000000218613,-1.518697514,0.000964936,-1.512014009,0.000930174,-1.515355762
Rv1778c/Mb1807c,Rv1778c,Mb1807c,0,unknown protein,conserved hypotheticals ,-,-,-,-,Variable,208.9133472,47.3338228,-2.14196132,0.017832694,-1.925289936,0.00000000000928732,-2.103067082,0.00000000000311635,-2.014178509
Rv2816c/Mb2840c,Rv2816c,Mb2840c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,66.88759682,15.19154977,-2.136556832,0.0000000000000000000000000975533,-,-,-,-,-
Rv2383c/Mb2404c,Rv2383c,Mb2404c,mbtB,PHENYLOXAZOLINE SYNTHASE MBTB PHENYLOXAZOLINE SYNTHETASE,lipid metabolism,"peptide synthetase, mbtB",mycobactin synthesis,Other,ATP + MBT_HOLO + SER = AMP + MBTB_SER + PPI,Variable,80.10867789,18.53932785,-2.111369593,0.00178665,-1.965137691,0.000000207073,-1.269044927,0.0000472159,-1.617091309
Rv0084/Mb0087,Rv0084,Mb0087,hycD,possible formate hydrogenlyase hycd %28fhl%29,intermediate metabolism and respiration,-,-,-,-,Identical,113.6845365,21.56339259,-2.069259101,0.000000000000000000791876,-,-,-,-,-
Rv2813/Mb2837,Rv2813,Mb2837,0,CONSERVED HYPOTHETICAL PROTEIN,conserved hypotheticals,-,-,-,-,Variable,3.244918479,0.781163108,-2.054486513,0.00249413,-,-,-,-,-
Rv0275c/Mb0281c,Rv0275c,Mb0281c,0,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN POSSIBLY TETR-FAMILY,regulatory proteins,-,-,-,-,Variable,636.6105208,153.3581919,-2.053505766,0.001291173,0.842204938,0.00247744,1.309055897,0.0000330768,1.075630417
Rv2289/Mb2311,Rv2289,Mb2311,cdh,probable cdp-diacylglycerol pyrophosphatase cdh %28cdp-diacylglycerol diphosphatase%29 %28cdp-diacylglycerol phosphatidylhydrolase%29,lipid metabolism,-,-,-,-,Identical,285.674115,65.56534421,-2.042647437,0.0000000000017326,-1.760584229,0.00000000411663,-1.730559074,0.00000000571583,-1.745571651
3' end of Rv3176c/Mb3201c,Rv3176c,Mb3201c,mesTb,PROBABLE EPOXIDE HYDROLASE MESTB [SECOND PART] EPOXIDE HYDRATASE ARENE-OXIDE HYDRATASE,"virulence, detoxification, adaptation",-,-,-,-,Variable,73.8254547,18.04095878,-2.032842325,0.00000445,-,-,-,-,-
3' end of Rv0987/Mb1014,Rv0987,Mb1014,0,PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER,cell wall and cell processes,-,-,-,-,Variable,39.48140644,9.735483917,-2.019848786,0.000170314,-1.384648916,0.000005988,-1.31840567,0.0000107,-1.351527293
Rv3027c/Mb3053c,Rv3027c,Mb3053c,0,gcn5-related n-acetyltransferase,intermediate metabolism and respiration,-,-,-,-,Identical,97.80156735,26.84305994,-2.004600156,0.000000000000000000000000000000000000000000000000745733,-,-,-,-,-
Rv1596/Mb1622,Rv1596,Mb1622,nadC,Probable nicotinate-nucleotide pyrophosphatase nadC,intermediary metabolism and respiration,nicotinate-nucleotide diphosphorylase,"Cofactor biosynthesis, Nicotinamide nucleotides (NAD+, NADP) biosynthesis",Cofactor biosynthesis,PRPP + QA = CO2 + NACN + PPI,Variable,557.9277061,139.6881864,-1.99786818,0.000000509,-2.015263981,0.000000000299094,-1.938221141,0.000000000605037,-1.976742561
3' end of Rv0698/Mb0718,Rv0698,Mb0718,0,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],conserved hypotheticals,-,-,-,-,Variable,139.0869648,34.8594035,-1.99636743,0.00121447,-,-,-,-,-
3' end of Rv3480c/Mb3509c,Rv3480c,Mb3509c,0,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],conserved hypotheticals,triacylglycerol synthase,triglyceride synthesis,Lipid biosyntheis,0.11 9_HEXADECENOYL_COA + 0.11 9_OCTADECENOYL_COA + 1.16 DAG + 0.11 EICOSANOYL_COA + 0.11 HEXACOSANOYL_COA + 0.22 HEXADECANOYL_COA + 0.11 NONADECANOYL_COA + 0.11 OCTADECANOYL_COA + 0.11 PENTADECANOYL_COA + 0.11 TETRACOSANOYL_COA = 1.1 COA + 1.1 PI + TAGbio,Variable,146.8825641,37.01864235,-1.988339258,0.00000179,-1.744639067,0.00000000171835,-1.593529175,0.00000000703424,-1.669084121
Rv1198/Mb1230,Rv1198,Mb1230,esxL,putative esat-6 like protein esxl esat-6 like protein 4,conserved hypotheticals,-,-,-,-,Variable,4262.506556,1075.962323,-1.986074493,0.009201429,-2.867145938,0.0000000195469,-1.116413774,0.001241962,-1.991779856
Rv0085/Mb0088,Rv0085,Mb0088,hycP,possible hydrogenase hycp,intermediate metabolism and respiration,-,-,-,-,Identical,18.76162028,4.126371782,-1.981438993,0.000000000000119301,-1.583357063,0.015501006,-1.912853202,0.004026832,-1.748105133
3' end of Rv2566/Mb2596,Rv2566,Mb2596,0,LONG CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],conserved hypotheticals,-,-,-,-,Variable,44.05002351,11.31343059,-1.961106322,0.000117449,-2.022802217,0.000000000180452,-2.01658915,0.000000000207035,-2.019695683
Rv2382c/Mb2403c,Rv2382c,Mb2403c,mbtC,polyketide synthetase mbtc %28polyketide synthase%29,lipid metabolism,"polyketide synthase mbtC, mbtD",mycobactin synthesis,Other,ACCOA + MALCOA + MBT_HOLO = 2.0 COA + MBTCD_HBA,Identical,66.79693522,17.65306771,-1.943646559,0.0000000000000000276082,-2.464071752,0.0000000844443,-1.629291636,0.0000178667,-2.046681694
Rv2761c/Mb2782c,Rv2761c,Mb2782c,hsdS,possible type i restriction/modification system specificity determinant hsds %28s protein%29,information pathways,-,-,-,-,Identical,120.7562073,33.45094389,-1.931208142,0.000000000000000000000000000000000000000000000000298051,-0.316771266,0.561731464,-0.567911817,0.253950628,-0.442341541
Rv3685c/Mb3710c,Rv3685c,Mb3710c,cyp137,PROBABLE CYTOCHROME P450 137 CYP137,intermediary metabolism and respiration,-,-,-,-,Variable,205.1340241,54.23755855,-1.919202657,0.0000385,0.004820938,0.972304807,0.061460424,0.640179678,0.033140681
Rv1102c/Mb1132c,Rv1102c,Mb1132c,mazf3,toxin mazf3,conserved hypotheticals,-,-,-,-,Variable,432.9726995,114.8940508,-1.913971964,0.000176014,-,-,-,-,-
Rv1172c/Mb1205c,Rv1172c,Mb1205c,PE12,pe family protein pe12,PE/PPE,-,-,-,-,Variable,259.0381593,68.76848475,-1.913345176,0.0000505,-,-,-,-,-
Rv0134/Mb0139-2,Rv0134,Mb0139-2,ephf,possible epoxide hydrolase ephf epoxide hydratase arene-oxide hydratase,"virulence, detoxification, adaptation",-,-,-,-,Variable,264.673496,70.63688385,-1.905720128,0.0000613,-1.632299275,0.0000000881818,-1.225278593,0.0000041964,-1.428788934
Rv3804c/Mb3834c,Rv3804c,Mb3834c,fbpA,secreted antigen 85-a fbpa %28mycolyl transferase 85a%29 %28fibronectin-binding protein a%29 %28antigen 85 complex a%29,lipid metabolism,"mycoyltransferase Antigen-85 complex (FbpA, FbpB, FbpC)",MAPC biosynthesis,Other,0.008 ARABINOGALACTAN_PEPTIDOGLYCAN + 0.238 TREHALOSEMONOMYCOLATE = MAPC + 0.238 TRE,Identical,2836.433929,743.0913681,-1.888208721,0.000000000000000000000000000000000311676,-1.392702304,0.0000000156799,-0.843236793,0.0000118555,-1.117969549
Rv1730c/Mb1759c,Rv1730c,Mb1759c,0,possible penicillin-binding protein,cell wall and cell processes,-,-,-,-,Identical,85.46782527,23.15233215,-1.883630813,0.000000000000000000000000000000663546,-1.44798914,0.00000123913,-1.515596045,0.000000733709,-1.481792592
Rv2590/Mb2621,Rv2590,Mb2621,fadD9,PROBABLE FATTY-ACID-CoA LIGASE FADD9 FATTY-ACID-COA SYNTHETASE FATTY-ACID-COA SYNTHASE,lipid metabolism,-,-,-,-,Variable,747.5063598,205.3196994,-1.864213801,0.000245855,-1.693158998,0.00000000000710983,-1.255278745,0.000000000605037,-1.474218872
Rv0115/Mb0119,Rv0115,Mb0119,hdda,possible d-alpha-d-heptose-7-phosphate kinase hdda,intermediary metabolism and respiration,-,-,-,-,Variable,53.9806161,15.18756282,-1.829551067,0.001118274,-,-,-,-,-
Rv3749c/Mb3775c,Rv3749c,Mb3775c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,168.3816614,44.34834519,-1.80755533,0.0000000000000000139535,-,-,-,-,-
Rv0629c/Mb0645c,Rv0629c,Mb0645c,recD,PROBABLE EXONUCLEASE V ALPHA CHAIN RECD EXODEOXYRIBONUCLEASE V ALPHA CHAIN EXODEOXYRIBONUCLEASE V POLYPEPTIDE,information pathways,-,-,-,-,Variable,29.89180217,8.594363219,-1.798287224,0.000284998,-1.760512764,0.00000194742,-1.214108277,0.000140632,-1.48731052
Rv1165/Mb1197,Rv1165,Mb1197,typA,possible gtp-binding translation elongation factor typa %28tyrosine phosphorylated protein a%29 %28gtp-binding protein%29,information pathways,-,-,-,-,Identical,104.297308,26.59669306,-1.797408662,0.00000000000000000000000000472876,0.094464038,0.21356636,0.126806812,0.083650861,0.110635425
3' end of Rv2835c/Mb2859c,Rv2835c,Mb2859c,ugpAb,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER UGPAB [SECOND PART],cell wall and cell processes,-,-,-,-,Variable,40.56131253,11.71043826,-1.792309268,0.0000189,-,-,-,-,-
Rv2086/Mb2113,Rv2086,Mb2113,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,24.06054196,7.029243507,-1.783088266,0.000000000161971,-,-,-,-,-
Rv1595/Mb1621,Rv1595,Mb1621,nadB,probable l-aspartate oxidase nadb,intermediate metabolism and respiration,L-aspartate oxidase,"Cofactor biosynthesis, Nicotinamide nucleotides (NAD+, NADP) biosynthesis",Cofactor biosynthesis,ASP + FUM = ISUCC + SUCC,Identical,681.9642377,191.4847059,-1.780699744,0.000000000000000000110867,-1.634880188,0.000000000051,-1.984529009,0.00000000000349741,-1.809704598
Rv2078/Mb2104,Rv2078,Mb2104,0,conserved hypothetical protein,conserved hypotheticals ,-,-,-,-,Variable,27.84991382,8.137118694,-1.775082923,0.00000506,-,-,-,-,-
Rv1717/Mb1745,Rv1717,Mb1745,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,39.26088161,11.90125109,-1.770525289,0.0000000000000557691,-,-,-,-,-
