,,,,,,,,,,,,
,,,,,,,,,,,,
Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Annotation,Fxnal cat
Rv0032,Mb0033,bioF2, 771 aa, 771 aa ,,,100.00%,771 aa overlap,,,possible 8-amino-7-oxononanoate synthase biof2 aons 8-amino-7-ketopelargonate synthase 7-keto-8-amino-pelargonic acid synthetase 7-kap synthetase l-alanine--pimelyl coa ligase,intermediate metabolism and respiration
Rv0033,Mb0034,acpA, 87 aa, 87 aa ,,,100.00%,87 aa overlap,,,probable acyl carrier protein acpa acp,lipid metabolism
Rv0034,Mb0035,, 131 aa, 131 aa ,,,100.00%,131 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0035,Mb0036,fadD34, 562 aa, 562 aa ,,,100.00%,562 aa overlap,,,probable fatty-acid-coa ligase fadd34 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0036c,Mb0037c,, 257 aa, 257 aa ,,,100.00%,257 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0037c,Mb0038c,, 441 aa, 441 aa ,,,100.00%,441 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0038,Mb0039,, 202 aa, 202 aa ,,,100.00%,202 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0040c,Mb0041c,mtc28, 310 aa, 310 aa ,,,100.00%,310 aa overlap,,,secreted proline rich protein mtc28 proline rich 28 kda antigen,cell wall and cell processes
Rv0041,Mb0042,leuS, 969 aa, 969 aa ,,,100.00%,969 aa overlap,,,probable leucyl-trna synthetase leus leucine--trna ligase leurs,information pathways
Rv0042c,Mb0043c,, 208 aa, 208 aa ,,,100.00%,208 aa overlap,,,possible transcriptional regulatory protein probably marr-family,regulatory proteins
Rv0043c,Mb0044c,, 244 aa, 244 aa ,,,100.00%,244 aa overlap,,,probable transcriptional regulatory protein probably gntr-family,regulatory proteins
Rv0044c,Mb0045c,, 264 aa, 264 aa ,,,100.00%,264 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0045c,Mb0046c,, 298 aa, 298 aa ,,,100.00%,298 aa overlap,,,possible hydrolase,lipid metabolism
Rv0047c,Mb0048c,, 180 aa, 180 aa ,,,100.00%,180 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0049,Mb0050,, 137 aa, 137 aa ,,,100.00%,137 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0051,Mb0052,, 560 aa,560 aa ,,,100.00%,560 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0052,Mb0053,, 187 aa, 187 aa ,,,100.00%,187 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0053,Mb0054,rpsF, 96 aa, 96 aa ,,,100.00%,96 aa overlap,,,30s ribosomal protein s6 rpsf,information pathways
Rv0054,Mb0055,ssb, 164 aa, 164 aa ,,,100.00%,164 aa overlap,,,single-strand binding protein ssb helix-destabilizing protein,information pathways
Rv0055,Mb0056,rpsR1, 84 aa, 84 aa ,,,100.00%,84 aa overlap,,,30s ribosomal protein s18-1 rpsr1,information pathways
Rv0056,Mb0057,rplI, 152 aa, 152 aa ,,,100.00%,152 aa overlap,,,50s ribosomal protein l9 rpli,information pathways
Rv0057,Mb0058,, 173 aa, 173 aa ,,,100.00%,173 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0059,Mb0060,, 230 aa, 230 aa ,,,100.00%,230 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0060,Mb0061,, 352 aa, 352 aa ,,,100.00%,352 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0061c,Mb0062A,, 112 aa, 112 aa ,,,100.00%,112 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0063,Mb0064,, 479 aa, 479 aa ,,,100.00%,479 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0065,Mb0066,vapc1, 133 aa, 133 aa ,,,100.00%,133 aa overlap,,,possible toxin vapc1,"virulence, detoxification,adaptation"
Rv0067c,Mb0068c,, 189 aa, 189 aa ,,,100.00%,189 aa overlap,,,possible transcriptional regulatory protein possibly tetr-family,regulatory proteins
Rv0069c,Mb0070c,sdaA, 461 aa, 461 aa ,,,100.00%,461 aa overlap,,,probable l-serine dehydratase sdaa l-serine deaminase sdh l-sd,intermediate metabolism and respiration
Rv0072,Mb0073,, 349 aa, 349 aa ,,,100.00%,349 aa overlap,,,probable glutamine-transport transmembrane protein abc transporter,cell wall and cell processes
Rv0074,Mb0076,, 411 aa, 411 aa ,,,100.00%,411 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0075,Mb0077,, 390 aa, 390 aa ,,,100.00%,390 aa overlap,,,probable aminotransferase,intermediate metabolism and respiration
Rv0076c,Mb0078c,, 129 aa, 129 aa ,,,100.00%,129 aa overlap,,,probable membrane protein,cell wall and cell processes
Rv0077c,Mb0079c,, 276 aa, 276 aa ,,,100.00%,276 aa overlap,,,probable oxidoreductase,intermediate metabolism and respiration
Rv0078B,Mb0081A,, 68 aa, 68 aa ,,,100.00%,68 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0078A,Mb0081c,, 197 aa, 197 aa ,,,100.00%,197 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0079,Mb0082,, 273 aa, 273 aa ,,,100.00%,273 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv0081,Mb0084,, 114 aa, 114 aa ,,,100.00%,114 aa overlap,,,probable transcriptional regulatory protein,regulatory proteins
Rv0082,Mb0085,, 159 aa, 159 aa ,,,100.00%,159 aa overlap,,,probable oxidoreductase,intermediate metabolism and respiration
Rv0084,Mb0087,hycD, 316 aa, 316 aa ,,,100.00%,316 aa overlap,,,possible formate hydrogenlyase hycd fhl,intermediate metabolism and respiration
Rv0085,Mb0088,hycP, 220 aa, 220 aa ,,,100.00%,220 aa overlap,,,possible hydrogenase hycp,intermediate metabolism and respiration
Rv0088,Mb0091,, 224 aa, 224 aa ,,,100.00%,224 aa overlap,,,possible polyketide cyclase/dehydrase,lipid metabolism
Rv0089,Mb0092,, 197 aa, 197 aa ,,,100.00%,197 aa overlap,,,possible methyltransferase/methylase,intermediate metabolism and respiration
Rv0090,Mb0093,, 256 aa, 256 aa ,,,100.00%,256 aa overlap,,,possible membrane protein,cell wall and cell processes
Rv0091,Mb0094,mtn, 255 aa, 255 aa ,,,100.00%,255 aa overlap,,,probable bifunctional mta/sah nucleosidase mtn: 5'-methylthioadenosine nucleosidase methylthioadenosine methylthioribohydrolase b s-adenosylhomocysteine nucleosidase s-adenosyl-l-homocysteine homocysteinylribohydrolase,intermediate metabolism and respiration
Rv0097,Mb0100,, 289 aa, 289 aa ,,,100.00%,289 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0098,Mb0101,fcot, 183 aa, 183 aa ,,,100.00%,183 aa overlap,,,probable fatty acyl coa thioesterase type iii fcot,lipid metabolism
Rv0099,Mb0102,fadD10, 540 aa, 540 aa ,,,100.00%,540 aa overlap,,,possible fatty-acid-coa ligase fadd10 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0100,Mb0103,, 78 aa,78 aa,,,100.00%,78 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0101,Mb0104,nrp, 2512 aa, 2512 aa ,,,100.00%,2512 aa overlap,,,probable peptide synthetase nrp peptide synthase,lipid metabolism
Rv0102,Mb0105,, 661 aa, 661 aa ,,,100.00%,661 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0105c,Mb0108c,rpmB1, 94 aa, 94 aa ,,,100.00%,94 aa overlap,,,50s ribosomal protein l28-1 rpmb1,information pathways
Rv0106,Mb0109,, 398 aa, 398 aa ,,,100.00%,398 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0108c,Mb0112c,, 69 aa, 69 aa ,,,100.00%,69 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0110,Mb0114,, 249 aa, 249 aa ,,,100.00%,249 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0111,Mb0115,, 685 aa, 685 aa ,,,100.00%,685 aa overlap,,,possible transmembrane acyltransferase,intermediate metabolism and respiration
Rv0112,Mb0116,gca, 318 aa, 318 aa ,,,100.00%,318 aa overlap,,,possible gdp-mannose 4c6-dehydratase gca gdp-d-mannose dehydratase,cell wall and cell processes
Rv0113,Mb0117,gmhA, 196 aa, 196 aa ,,,100.00%,196 aa overlap,,,probable sedoheptulose-7-phosphate isomerase gmha phosphoheptose isomerase,cell wall and cell processes
Rv0116c,Mb0120c,ldta, 251 aa, 251 aa ,,,100.00%,251 aa overlap,,,probable lcd-transpeptidase ldta,cell wall and cell processes
Rv0117,Mb0121,oxyS, 314 aa, 314 aa ,,,100.00%,314 aa overlap,,,oxidative stress response regulatory protein oxys,regulatory proteins
Rv0119,Mb0123,fadD7, 525 aa, 525 aa ,,,100.00%,525 aa overlap,,,probable fatty-acid-coa ligase fadd7 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0121c,Mb0126c,, 144 aa, 144 aa ,,,100.00%,144 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0122,Mb0127,, 122 aa, 122 aa ,,,100.00%,122 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0123,Mb0128,, 122 aa, 122 aa ,,,100.00%,122 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv0125,Mb0130,pepA, 355 aa, 355 aa ,,,100.00%,355 aa overlap,,,probable serine protease pepa serine proteinase mtb32a,intermediate metabolism and respiration
Rv0126,Mb0131,treS, 601 aa, 601 aa ,,,100.00%,601 aa overlap,,,trehalose synthase tres,"virulence, detoxification,adaptation"
Rv0128,Mb0133,, 259 aa, 259 aa ,,,100.00%,259 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0129c,Mb0134c,fbpC, 340 aa, 340 aa ,,,100.00%,340 aa overlap,,,secreted antigen 85-c fbpc 85c antigen 85 complex c ag58c mycolyl transferase 85c fibronectin-binding protein c,lipid metabolism
Rv0130,Mb0135,htdz, 151 aa, 151 aa ,,,100.00%,151 aa overlap,,,probable 3-hydroxyl-thioester dehydratase,intermediate metabolism and respiration
Rv0131c,Mb0136c,fadE1, 447 aa, 447 aa ,,,100.00%,447 aa overlap,,,probable acyl-coa dehydrogenase fade1,lipid metabolism
Rv0135c,Mb0140c,, 201 aa, 201 aa ,,,100.00%,201 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0136,Mb0141,cyp138, 441 aa, 441 aa ,,,100.00%,441 aa overlap,,,probable cytochrome p450 138 cyp138,intermediate metabolism and respiration
Rv0137c,Mb0142c,msrA, 182 aa, 182 aa ,,,100.00%,182 aa overlap,,,probable peptide methionine sulfoxide reductase msra protein-methionine-s-oxide reductase peptide meto reductase,intermediate metabolism and respiration
Rv0140,Mb0145,, 126 aa, 126 aa ,,,100.00%,126 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0141c,Mb0146c,, 136 aa, 136 aa ,,,100.00%,136 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv0142,Mb0147,, 308 aa, 308 aa ,,,100.00%,308 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0144,Mb0149,, 280 aa, 280 aa ,,,100.00%,280 aa overlap,,,probable transcriptional regulatory protein possibly tetr-family,regulatory proteins
Rv0145,Mb0150,, 317 aa, 317 aa ,,,100.00%,317 aa overlap,,,possible s-adenosylmethionine-dependent methyltransferase,lipid metabolism
Rv0146,Mb0151,, 310 aa, 310 aa ,,,100.00%,310 aa overlap,,,possible s-adenosylmethionine-dependent methyltransferase,lipid metabolism
Rv0147,Mb0152,, 506 aa, 506 aa ,,,100.00%,506 aa overlap,,,probable aldehyde dehydrogenase nadb dependent,intermediate metabolism and respiration
Rv0148,Mb0153,, 286 aa, 286 aa ,,,100.00%,286 aa overlap,,,probable short-chain type dehydrogenase/reductase,intermediate metabolism and respiration
Rv0149,Mb0154,, 322 aa, 322 aa ,,,100.00%,322 aa overlap,,,possible quinone oxidoreductase nadph:quinone oxidoreductase zeta-crystallin,intermediate metabolism and respiration
Rv0150c,Mb0155c,, 95 aa, 95 aa ,,,100.00%,95 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0152c,Mb0157c,PE2, 525 aa, 525 aa ,,,100.00%,525 aa overlap,,,pe family protein pe2,PE/PPE
Rv0154c,Mb0159c,fadE2, 403 aa, 403 aa ,,,100.00%,403 aa overlap,,,probable acyl-coa dehydrogenase fade2,lipid metabolism
Rv0155,Mb0160,pntAa, 366 aa, 366 aa ,,,100.00%,366 aa overlap,,,probable nadp transhydrogenase subunit alpha pntaa [first partb catalytic part] pyridine nucleotide transhydrogenase subunit alpha nicotinamide nucleotide transhydrogenase subunit alpha,intermediate metabolism and respiration
Rv0157,Mb0162,pntB, 475 aa, 475 aa ,,,100.00%,475 aa overlap,,,probable nadp transhydrogenase subunit beta pntb [integral membrane protein] pyridine nucleotide transhydrogenase subunit beta nicotinamide nucleotide transhydrogenase subunit beta,intermediate metabolism and respiration
Rv0157A,Mb0162A,, 42 aa, 42 aa ,,,100.00%,42 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0158,Mb0163,, 214 aa, 214 aa ,,,100.00%,214 aa overlap,,,probable transcriptional regulatory protein possibly tetr-family,regulatory proteins
Rv0161,Mb0166,, 449 aa, 449 aa ,,,100.00%,449 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0162c,Mb0167c,adhE1, 383 aa, 383 aa ,,,100.00%,383 aa overlap,,,probable zinc-type alcohol dehydrogenase e subunit adhe1,intermediate metabolism and respiration
Rv0163,Mb0168,, 151 aa, 151 aa ,,,100.00%,151 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0164,Mb0169,TB18.5, 161 aa, 161 aa ,,,100.00%,161 aa overlap,,,conserved protein tb18.5,Conserved hypothetical protein
Rv0167,Mb0173,yrbE1A, 265 aa, 265 aa ,,,100.00%,265 aa overlap,,,conserved integral membrane protein yrbe1a,"virulence, detoxification,adaptation"
Rv0168,Mb0174,yrbE1B, 289 aa, 289 aa ,,,100.00%,289 aa overlap,,,conserved integral membrane protein yrbe1b,"virulence, detoxification,adaptation"
Rv0172,Mb0178,mce1D, 530 aa, 530 aa ,,,100.00%,530 aa overlap,,,mce-family protein mce1d,"virulence, detoxification,adaptation"
Rv0173,Mb0179,lprK, 390 aa, 390 aa ,,,100.00%,390 aa overlap,,,possible mce-family lipoprotein lprk mce-family lipoprotein mce1e,cell wall and cell processes
Rv0175,Mb0181,, 213 aa, 213 aa ,,,100.00%,213 aa overlap,,,probable conserved mce associated membrane protein,cell wall and cell processes
Rv0177,Mb0183,, 184 aa, 184 aa ,,,100.00%,184 aa overlap,,,probable conserved mce associated protein,Conserved hypothetical protein
Rv0178,Mb0184,, 244 aa, 244 aa ,,,100.00%,244 aa overlap,,,probable conserved mce associated membrane protein,cell wall and cell processes
Rv0180c,Mb0186c,Mb0186c, 452 aa, 452 aa ,,,100.00%,452 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0181c,Mb0187c,, 244 aa, 244 aa ,,,100.00%,244 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0182c,Mb0188c,sigG, 370 aa, 370 aa ,,,100.00%,370 aa overlap,,,probable alternative rna polymerase sigma factor sigg rna polymerase ecf type sigma factor,information pathways
Rv0183,Mb0189,, 279 aa, 279 aa ,,,100.00%,279 aa overlap,,,possible lysophospholipase,intermediate metabolism and respiration
Rv0184,Mb0190,, 249 aa, 249 aa ,,,100.00%,249 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0185,Mb0191,, 169 aa, 169 aa ,,,100.00%,169 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0186A,Mb0192A,mymT, 53 aa, 53 aa ,,,100.00%,53 aa overlap,,,metallothioneinc mymt,"virulence, detoxification,adaptation"
Rv0187,Mb0193,, 220 aa, 220 aa ,,,100.00%,220 aa overlap,,,probable o-methyltransferase,intermediate metabolism and respiration
Rv0188,Mb0194,, 143 aa, 143 aa ,,,100.00%,143 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0189c,Mb0195c,ilvD, 575 aa, 575 aa ,,,100.00%,575 aa overlap,,,probable dihydroxy-acid dehydratase ilvd dad,intermediate metabolism and respiration
Rv0190,Mb0196,, 96 aa, 96 aa ,,,100.00%,96 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0191,Mb0197,, 413 aa, 413 aa ,,,100.00%,413 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0195,Mb0201,, 211 aa, 211 aa ,,,100.00%,211 aa overlap,,,possible two component transcriptional regulatory protein probably luxr-family,regulatory proteins
Rv0196,Mb0202,, 194 aa, 194 aa ,,,100.00%,194 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0198c,Mb0204c,zmp1, 663 aa, 663 aa ,,,100.00%,663 aa overlap,,,probable zinc metalloprotease zmp1,intermediate metabolism and respiration
Rv0199,Mb0205,, 219 aa, 219 aa ,,,100.00%,219 aa overlap,,,probable conserved membrane protein,cell wall and cell processes
Rv0200,Mb0206,, 229 aa, 229 aa ,,,100.00%,229 aa overlap,,,possible conserved transmembrane protein,cell wall and cell processes
Rv0201c,Mb0207c,, 167 aa, 167 aa ,,,100.00%,167 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0202c,Mb0208c,mmpL11, 966 aa, 966 aa ,,,100.00%,966 aa overlap,,,probable conserved transmembrane transport protein mmpl11,cell wall and cell processes
Rv0203,Mb0209,, 136 aa, 136 aa ,,,100.00%,136 aa overlap,,,possible exported protein,cell wall and cell processes
Rv0207c,Mb0213c,, 242 aa, 242 aa ,,,100.00%,242 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0208c,Mb0214c,, 263 aa, 263 aa ,,,100.00%,263 aa overlap,,,hypothetical methlytransferase methylase,intermediate metabolism and respiration
Rv0211,Mb0217,pckA, 606 aa, 606 aa ,,,100.00%,606 aa overlap,,,probable iron-regulated phosphoenolpyruvate carboxykinase [gtp] pcka phosphoenolpyruvate carboxylase pepckpep carboxykinase,intermediate metabolism and respiration
Rv0212c,Mb0218c,nadR, 323 aa, 323 aa ,,,100.00%,323 aa overlap,,,possible transcriptional regulatory protein nadr probably asnc-family,regulatory proteins
Rv0213c,Mb0219c,, 437 aa, 437 aa ,,,100.00%,437 aa overlap,,,possible methyltransferase methylase,intermediate metabolism and respiration
Rv0216,Mb0222,, 337 aa, 337 aa ,,,100.00%,337 aa overlap,,,double hotdog hydratase,intermediate metabolism and respiration
Rv0219,Mb0225,, 182 aa, 182 aa ,,,100.00%,182 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0220,Mb0226,lipC, 403 aa, 403 aa ,,,100.00%,403 aa overlap,,,probable esterase lipc,intermediate metabolism and respiration
Rv0225,Mb0230,, 384 aa, 384 aa ,,,100.00%,384 aa overlap,,,possible conserved protein,cell wall and cell processes
Rv0226c,Mb0231c,, 576 aa, 576 aa ,,,100.00%,576 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0228,Mb0233,, 407 aa, 407 aa ,,,100.00%,407 aa overlap,,,probable integral membrane acyltransferase,intermediate metabolism and respiration
Rv0229c,Mb0234c,, 226 aa, 226 aa ,,,100.00%,226 aa overlap,,,possible conserved membrane protein with pin domain,cell wall and cell processes
Rv0231,Mb0236,fadE4, 568 aa, 568 aa ,,,100.00%,568 aa overlap,,,probable acyl-coa dehydrogenase fade4,lipid metabolism
Rv0232,Mb0237,, 229 aa, 229 aa ,,,100.00%,229 aa overlap,,,probable transcriptional regulatory protein probably tetr/acrr-family,regulatory proteins
Rv0234c,Mb0239c,gabD1, 511 aa, 511 aa ,,,100.00%,511 aa overlap,,,succinate-semialdehyde dehydrogenase [nadpb] dependent ssdh gabd1,intermediate metabolism and respiration
Rv0235c,Mb0240c,, 482 aa, 482 aa ,,,100.00%,482 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0236A,Mb0242c,, 57 aa, 57 aa ,,,100.00%,57 aa overlap,,,small secreted protein,cell wall and cell processes
Rv0238,Mb0244,, 204 aa, 204 aa ,,,100.00%,204 aa overlap,,,possible transcriptional regulatory protein probably tetr-family,regulatory proteins
Rv0239,Mb0245,vapb24, 77 aa, 77 aa ,,,100.00%,77 aa overlap,,,possible antitoxin vapb24,"virulence, detoxification,adaptation"
Rv0241c,Mb0247c,htdx, 280 aa, 280 aa ,,,100.00%,280 aa overlap,,,probable 3-hydroxyacyl-thioester dehydratase htdx,intermediate metabolism and respiration
Rv0242c,Mb0248c,fabG4, 454 aa, 454 aa ,,,100.00%,454 aa overlap,,,probable 3-oxoacyl-[acyl-carrier protein] reductase fabg4 3-ketoacyl-acyl carrier protein reductase,lipid metabolism
Rv0243,Mb0249,fadA2, 440 aa, 440 aa ,,,100.00%,440 aa overlap,,,probable acetyl-coa acyltransferase fada2 3-ketoacyl-coa thiolase beta-ketothiolase,lipid metabolism
Rv0245,Mb0251,, 162 aa, 162 aa ,,,100.00%,162 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0247c,Mb0253c,, 248 aa, 248 aa ,,,100.00%,248 aa overlap,,,probable succinate dehydrogenase [iron-sulfur subunit] succinic dehydrogenase,intermediate metabolism and respiration
Rv0248c,Mb0254c,, 646 aa, 646 aa ,,,100.00%,646 aa overlap,,,probable succinate dehydrogenase [iron-sulfur subunit] succinic dehydrogenase,intermediate metabolism and respiration
Rv0249c,Mb0255c,, 273 aa, 273 aa ,,,100.00%,273 aa overlap,,,probable succinate dehydrogenase [membrane anchor subunit] succinic dehydrogenase,intermediate metabolism and respiration
Rv0250c,Mb0256c,, 97 aa, 97 aa ,,,100.00%,97 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0251c,Mb0257c,hsp, 159 aa, 159 aa ,,,100.00%,159 aa overlap,,,heat shock protein hsp heat-stress-induced ribosome-binding protein a,"virulence, detoxification,adaptation"
Rv0252,Mb0258,nirB, 853 aa, 853 aa ,,,100.00%,853 aa overlap,,,probable nitrite reductase [nadph] large subunit [fad flavoprotein] nirb,intermediate metabolism and respiration
Rv0253,Mb0259,nirD, 118 aa, 118 aa ,,,100.00%,118 aa overlap,,,probable nitrite reductase [nadph] small subunit nird,intermediate metabolism and respiration
Rv0254c,Mb0260c,cobU, 174 aa, 174 aa ,,,100.00%,174 aa overlap,,,probable bifunctional cobalamin biosynthesis protein cobu: cobinamide kinase b cobinamide phosphate guanylyltransferase,intermediate metabolism and respiration
Rv0255c,Mb0261c,cobQ1, 494 aa, 494 aa ,,,100.00%,494 aa overlap,,,probable cobyric acid synthase cobq1,intermediate metabolism and respiration
Rv0256c,Mb0262c,PPE2, 556 aa, 556 aa ,,,100.00%,556 aa overlap,,,ppe family protein ppe2,PE/PPE
Rv0258c,Mb0264c,, 151 aa, 151 aa ,,,100.00%,151 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0260c,Mb0266c,, 381 aa, 381 aa ,,,100.00%,381 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0261c,Mb0267c,narK3, 469 aa, 469 aa ,,,100.00%,469 aa overlap,,,probable integral membrane nitrite extrusion protein nark3 nitrite facilitator,cell wall and cell processes
Rv0262c,Mb0268c,aac, 181 aa, 181 aa ,,,100.00%,181 aa overlap,,,aminoglycoside 2'-n-acetyltransferase aac aac2'-ic,"virulence, detoxification,adaptation"
Rv0263c,Mb0269c,, 300 aa, 300 aa ,,,100.00%,300 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0264c,Mb0270c,, 210 aa, 210 aa ,,,100.00%,210 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0265c,Mb0271c,, 330 aa, 330 aa ,,,100.00%,330 aa overlap,,,probable periplasmic iron-transport lipoprotein,cell wall and cell processes
Rv0266c,Mb0272c,oplA, 1209 aa, 1209 aa ,,,100.00%,1209 aa overlap,,,probable 5-oxoprolinase opla 5-oxo-l-prolinase pyroglutamase 5-opase,intermediate metabolism and respiration
Rv0267,Mb0273,narU, 463 aa, 463 aa ,,,100.00%,463 aa overlap,,,probable integral membrane nitrite extrusion protein naru nitrite facilitator,cell wall and cell processes
Rv0268c,Mb0274c,, 169 aa, 169 aa ,,,100.00%,169 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0269c,Mb0275c,, 397 aa, 397 aa ,,,100.00%,397 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0270,Mb0276,fadD2, 560 aa, 560 aa ,,,100.00%,560 aa overlap,,,probable fatty-acid-coa ligase fadd2 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0271c,Mb0277c,fadE6, 731 aa, 731 aa ,,,100.00%,731 aa overlap,,,probable acyl-coa dehydrogenase fade6,lipid metabolism
Rv0273c,Mb0279c,, 206 aa, 206 aa ,,,100.00%,206 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0274,Mb0280,, 193 aa, 193 aa ,,,100.00%,193 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0276,Mb0282,, 306 aa, 306 aa ,,,100.00%,306 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
