gene	bovis_call	mtb_call
mce2F	NE	NE
mce4A	NE	NE
mce4B	NE	NE
mce4C	NE	NE
mce4D	NE	NE
mce4F	NE	NE
mcr	NE	GA
mdh	NE	NE
menA	NE	ES
menB	NE	ES
menC	NE	ES
menD	ES	ES
menE	ES	ES
menH	GA	ES
mesJ	NE	ES
metA	GA	ES
metB	NE	NE
metC	ES	NE
metE	NE	ES
metH	NE	NE
metK	NE	ES
metS	NE	ES
metZ	NE	NE
mez	NE	NE
mfd	NE	NE
mgtE	ES	GA
mhpE	NE	NE
miaA	NE	GD
mihF	GD	NE
mkl	NE	GA
mmaA1	GA	GA
mmaA2	GA	GA
mmaA3	GA	GA
mmaA4	GA	GA
mmpL10	GD	NE
mmpL11	NE	NE
mmpL12	NE	NE
mmpL2	NE	NE
mmpL3	NE	ES
mmpL4	NE	NE
mmpL5	NE	NE
mmpL6	NE	NE
mmpL7	NE	NE
mmpL8	NE	NE
mmpS1	NE	NE
mmpS2	NE	NE
mmpS3	NE	NE
mmpS4	NE	NE
mmpS5	NE	NE
mmr	NE	NE
mmsA	NE	NE
mmsB	NE	NE
mmuM	NE	GA
mntH	NE	NE
moaA1	NE	NE
moaA2	NE	NE
moaB1	NE	NE
moaB2	NE	NE
moaC1	NE	NE
moaC2	NE	NE
moaC3	NE	NE
moaD1	NE	NE
moaD2	NE	NE
moaE2	NE	GA
moaX	NE	NE
mobA	NE	NE
modA	NE	GA
modB	NE	NE
modC	NE	NE
moeA1	NE	NE
moeA2	NE	NE
moeB1	NE	ES
moeB2	NE	NE
moeW	NE	NE
moeX	NE	NE
moeY	NE	NE
mog	NE	NE
moxR1	GD	ES
moxR2	NE	NE
moxR3	NE	NE
mprB	NE	ES
mpt63	NE	GA
mqo	NE	NE
mrp	NE	ES
mrr	NE	NE
mrsA	ES	ES
mscL	NE	NE
mshB	NE	NE
msrA	NE	NE
mtc28	ES	NE
mtn	NE	NE
mtr	NE	NE
mtrA	GD	ES
mtrB	ES	GD
murA	ES	ES
murB	GA	ES
murC	ES	ES
murE	NE	ES
murF	ES	ES
murG	ES	ES
murI	ES	ES
murX	ES	ES
mutA	NE	NE
mutB	NE	NE
mutT1	ES	NE
mutT2	NE	NE
mutT3	GD	NE
mutY	NE	NE
nadA	ES	ES
nadB	GD	ES
nadC	NE	ES
nadD	NE	ES
nadE	ES	GD
nadR	NE	NE
nagA	NE	NE
nanT	NE	NE
narG	NE	NE
narH	NE	NE
narI	NE	NE
narJ	NE	NE
narK1	NE	NE
narK2	NE	NE
narK3	NE	NE
narL	NE	NE
narU	NE	GA
narX	NE	NE
nat	NE	NE
ndh	NE	GD
ndhA	NE	NE
ndkA	NE	NE
nei	NE	NE
nicT	NE	NE
nirB	NE	NE
nirD	NE	NE
nrdB	NE	NE
nrdE	NE	ES
nrdF1	NE	GA
nrdF2	NE	GD
nrdH	NE	ES
nrdI	ES	ES
nrdZ	NE	NE
nrp	ES	NE
nth	NE	NE
nudC	NE	NE
nuoA	NE	NE
nuoB	NE	NE
nuoC	NE	NE
nuoD	NE	NE
nuoE	NE	NE
nuoF	NE	NE
nuoG	NE	NE
nuoH	NE	NE
nuoI	NE	NE
nuoJ	NE	NE
nuoK	NE	NE
nuoL	NE	NE
nuoM	NE	NE
nuoN	NE	NE
nusA	GD	ES
nusB	NE	ES
nusG	ES	ES
obg	ES	ES
ogt	GA	NE
omt	NE	NE
opcA	NE	NE
oplA	NE	NE
oppA	NE	NE
oppB	NE	NE
oppC	NE	NE
oppD	NE	NE
orn	NE	NE
otsA	NE	GD
otsB1	NE	NE
otsB2	NE	ES
oxcA	NE	NE
oxyS	NE	NE
panB	NE	ES
panC	NE	ES
panD	ES	ES
papA1	NE	NE
papA2	NE	NE
papA3	NE	NE
papA4	NE	NE
papA5	GA	NE
parA	NE	ES
parB	ES	ES
pbpA	NE	NE
pbpB	ES	ES
pca	ES	NE
pcaA	NE	NE
pcd	NE	NE
pckA	NE	NE
pcnA	NE	ES
pcp	NE	NE
pdc	NE	NE
pdxH	NE	NE
PE_PGRS1	NE	NE
PE_PGRS10	NE	NE
PE_PGRS11	NE	NE
PE_PGRS12	NE	NE
PE_PGRS13	NE	NE
PE_PGRS14	NE	NE
PE_PGRS15	NE	NE
PE_PGRS16	NE	GA
PE_PGRS17	NE	GA
PE_PGRS18	NE	GA
PE_PGRS19	NE	NE
PE_PGRS2	NE	NE
PE_PGRS20	NE	NE
PE_PGRS21	NE	NE
PE_PGRS22	ES	NE
PE_PGRS23	NE	NE
PE_PGRS24	ES	NE
PE_PGRS25	NE	NE
PE_PGRS26	NE	NE
PE_PGRS27	ES	NE
PE_PGRS28	NE	GA
PE_PGRS29	NE	NE
PE_PGRS30	ES	NE
PE_PGRS31	NE	NE
PE_PGRS33	NE	NE
PE_PGRS34	NE	NE
PE_PGRS35	NE	GA
PE_PGRS38	ES	NE
PE_PGRS39	GA	NE
PE_PGRS4	NE	NE
PE_PGRS40	NE	NE
PE_PGRS41	ES	GA
PE_PGRS44	NE	NE
PE_PGRS45	NE	NE
PE_PGRS46	NE	NE
PE_PGRS47	NE	NE
PE_PGRS48	NE	NE
PE_PGRS5	NE	NE
PE_PGRS51	NE	NE
PE_PGRS52	NE	NE
PE_PGRS53	GD	NE
PE_PGRS54	NE	NE
PE_PGRS55	NE	NE
PE_PGRS57	NE	NE
PE_PGRS58	NE	NE
PE_PGRS59	ES	NE
PE_PGRS60	NE	NE
PE_PGRS61	NE	NE
PE_PGRS62	NE	NE
PE_PGRS7	NE	NE
PE_PGRS9	NE	NE
PE1	NE	GA
PE12	GD	NE
PE13	GA	GA
PE14	NE	NE
PE15	NE	NE
PE16	NE	NE
PE17	NE	NE
PE18	NE	GA
PE19	NE	NE
PE2	NE	GA
PE20	NE	NE
PE22	NE	NE
PE23	NE	NE
PE24	NE	NE
PE25	NE	NE
PE26	NE	NE
PE27	NE	NE
PE29	NE	NE
PE3	NE	GA
PE31	NE	NE
PE33	NE	NE
PE34	NE	NE
PE35	NE	NE
PE36	NE	NE
PE4	NE	GA
PE5	ES	ES
PE6	NE	NE
PE7	NE	NE
PE8	NE	GA
PE9	NE	NE
pepA	NE	NE
pepB	NE	NE
pepC	NE	NE
pepE	NE	NE
pepN	NE	NE
pepQ	NE	NE
pepR	ES	NE
pfkA	ES	NE
pfkB	NE	NE
pflA	NE	NE
pgi	NE	NE
pgk	ES	GD
pgmA	NE	NE
pgsA1	NE	NE
pgsA2	NE	ES
pgsA3	NE	ES
pheA	NE	ES
pheS	ES	ES
pheT	NE	ES
phoH1	NE	NE
phoH2	NE	NE
phoP	NE	NE
phoR	NE	NE
phoT	NE	GA
phoY1	NE	NE
phoY2	NE	GA
php	NE	GA
phyA	NE	NE
pimA	ES	ES
pimB	ES	ES
pip	NE	NE
pirG	NE	NE
pitA	NE	NE
pitB	NE	NE
pknA	ES	ES
pknB	ES	ES
pknE	NE	NE
pknF	NE	NE
pknG	NE	NE
pknI	NE	NE
pknJ	NE	NE
pknK	NE	NE
pknL	NE	NE
pks1	NE	NE
pks10	NE	NE
pks11	NE	NE
pks12	NE	NE
pks13	ES	ES
pks16	ES	NE
pks17	NE	NE
pks2	NE	NE
pks3	NE	NE
pks5	NE	NE
pks7	NE	NE
pks8	NE	NE
pks9	NE	NE
plsB1	NE	NE
plsB2	NE	NE
plsC	NE	NE
pmmB	NE	NE
pncA	NE	NE
pntAa	N/A	GA
pntAb	NE	GA
pntB	NE	GA
polA	ES	GD
ponA1	NE	NE
ponA2	NE	GA
ppa	NE	ES
ppdK	NE	NE
PPE1	NE	NE
PPE10	NE	NE
PPE11	NE	NE
PPE12	NE	GD
PPE13	NE	GA
PPE14	GD	NE
PPE15	NE	GA
PPE16	NE	NE
PPE18	GA	GA
PPE19	NE	NE
PPE2	NE	NE
PPE20	GD	NE
PPE21	NE	NE
PPE22	NE	NE
PPE23	NE	NE
PPE24	NE	NE
PPE25	NE	GA
PPE26	NE	GA
PPE27	NE	GA
PPE28	NE	NE
PPE29	NE	NE
PPE3	NE	NE
PPE30	NE	NE
PPE32	NE	GA
PPE34	NE	NE
PPE36	ES	NE
PPE37	NE	NE
PPE4	ES	ES
PPE41	NE	NE
PPE42	NE	NE
PPE43	NE	NE
PPE44	GA	NE
PPE45	NE	NE
PPE46	N/A	NE
PPE49	NE	NE
PPE5	NE	NE
PPE50	NE	NE
PPE51	NE	NE
PPE52	NE	NE
PPE53	NE	NE
PPE54	NE	NE
PPE57	NE	NE
PPE6	NE	NE
PPE60	NE	NE
PPE61	NE	NE
PPE62	NE	NE
PPE63	NE	NE
PPE64	NE	NE
PPE66	NE	GA
PPE68	NE	NE
PPE69	NE	NE
PPE8	NE	GA
ppgK	ES	NE
ppiA	NE	NE
ppiB	NE	GD
ppm1	NE	NE
ppnK	NE	ES
ppsA	GA	NE
ppsB	GA	NE
ppsC	NE	NE
ppsD	NE	NE
ppsE	NE	NE
prcA	ES	GD
prcB	ES	GD
prfA	NE	ES
prfB	NE	ES
priA	NE	ES
proA	NE	NE
proB	ES	ES
proC	NE	ES
proS	ES	ES
proV	NE	NE
proW	NE	NE
proX	NE	NE
proZ	NE	NE
prrA	GD	ES
prrB	GD	ES
prsA	ES	ES
psd	NE	NE
pssA	NE	NE
pstA1	NE	NE
pstA2	NE	NE
pstC1	NE	NE
pstC2	NE	NE
pstS1	NE	NE
pstS2	NE	NE
pstS3	GD	NE
pta	NE	NE
ptbB	NE	GA
pth	NE	GD
ptpA	ES	NE
purA	NE	ES
purB	NE	ES
purC	NE	ES
purD	NE	ES
purE	ES	GD
purF	GD	GD
purH	NE	ES
purK	NE	GD
purL	NE	ES
purM	NE	GD
purN	ES	ES
purQ	NE	ES
purT	NE	NE
purU	NE	NE
pykA	NE	GD
pyrB	ES	ES
pyrC	ES	ES
pyrD	NE	ES
pyrE	ES	ES
pyrF	NE	ES
pyrG	ES	ES
pyrH	NE	ES
pyrR	ES	NE
qcrA	ES	GD
qcrB	NE	GD
qcrC	ES	GD
qor	NE	GA
radA	NE	NE
rbfA	ES	NE
rbsK	NE	NE
recA	NE	NE
recC	NE	NE
recD	NE	NE
recF	NE	NE
recG	NE	NE
recN	ES	NE
recR	NE	NE
recX	NE	NE
regX3	NE	NE
relA	NE	NE
rfbD	NE	ES
rfe	GD	ES
rhlE	ES	NE
rho	GA	ES
ribA1	NE	NE
ribA2	ES	ES
ribC	NE	NE
ribD	NE	NE
ribF	NE	ES
ribG	NE	ES
ribH	NE	ES
rimI	NE	NE
rimJ	NE	NE
rimM	ES	GD
rmlA	GD	ES
rmlC	NE	ES
rnc	GD	ES
rne	NE	GD
rnhB	ES	NE
rnpA	ES	NE
rocA	NE	NE
rocE	NE	NE
rodA	ES	NE
rpe	NE	GD
rpfA	NE	GA
rpfB	NE	NE
rpfC	NE	GA
rpfD	GA	NE
rpfE	NE	NE
rphA	NE	NE
rplA	GA	ES
rplB	ES	ES
rplC	ES	ES
rplD	ES	ES
rplE	ES	ES
rplF	ES	ES
rplI	NE	NE
rplJ	NE	ES
rplK	GD	NE
rplL	NE	NE
rplM	NE	ES
rplN	ES	ES
rplO	NE	NE
rplP	GD	ES
rplQ	GD	GD
rplR	ES	ES
rplS	NE	NE
rplT	NE	ES
rplU	NE	NE
rplV	ES	ES
rplW	ES	ES
rplX	ES	ES
rplY	NE	GD
rpmA	ES	NE
rpmB1	NE	NE
rpmB2	NE	GA
rpmC	GD	GD
rpmD	NE	NE
rpmE	ES	NE
rpmF	NE	GA
rpmG1	NE	GA
rpmG2	ES	GD
rpmH	ES	NE
rpmI	NE	NE
rpmJ	NE	NE
rpoA	ES	GD
rpoB	ES	ES
rpoC	NE	ES
rpoZ	ES	GD
rpsA	NE	GD
rpsB	NE	ES
rpsC	ES	ES
rpsD	ES	ES
rpsE	ES	ES
rpsF	NE	NE
rpsG	ES	ES
rpsH	ES	ES
rpsI	ES	ES
rpsJ	ES	NE
rpsK	ES	ES
rpsL	ES	ES
rpsM	NE	ES
rpsN1	ES	ES
rpsN2	NE	GA
rpsO	ES	NE
rpsP	NE	GD
rpsQ	NE	GD
rpsR1	NE	ES
rpsR2	NE	GA
rpsS	ES	ES
rpsT	ES	ES
rsbW	NE	GA
ruvA	ES	GD
ruvB	ES	GD
ruvC	N/A	GD
sahH	NE	ES
scoA	NE	NE
scoB	NE	NE
sdaA	NE	NE
sdhA	NE	NE
sdhB	NE	NE
sdhC	NE	NE
sdhD	NE	NE
secA1	NE	ES
secA2	ES	NE
