Mbovis	Mtb	gene	func_cat	i/v	alteration	ess_bovis	ess_mtb
Mb0088	Rv0085	hycP	intermediate metabolism and respiration	Identical		NE	NE
Mb0089	Rv0086	hycQ	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	GD	NE
Mb0090	Rv0087	hycE	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	GD	NE
Mb0091	Rv0088	-	lipid metabolism	Identical		NE	NE
Mb0092	Rv0089	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0093	Rv0090	-	cell wall and cell processes	Identical		NE	NE
Mb0094	Rv0091	mtn	intermediate metabolism and respiration	Identical		NE	NE
Mb0095	Rv0092	ctpA	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0096c	Rv0093c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0097c	Rv0094c	-	insertion seqs and phages	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0098c	Rv1588c	-	insertion seqs and phages	Variable	Base substitution(s) leading to gene fusion event in M. bovis AF2122/97	NE	NE
Mb0099	Rv0096	PPE1	PE/PPE	Variable	Non-syn SNP(s)	NE	NE
Mb0100	Rv0097	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0101	Rv0098	-	lipid metabolism	Identical		NE	NE
Mb0102	Rv0099	fadD10	lipid metabolism	Identical		NE	NE
Mb0103	Rv0100	-	Conserved hypothetical protein	Identical		NE	NE
Mb0104	Rv0101	nrp	lipid metabolism	Identical		ES	NE
Mb0105	Rv0102	-	cell wall and cell processes	Identical		NE	ES
Mb0106c	Rv0103c	ctpB	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0107	Rv0104	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0108c	Rv0105c	rpmB1	information pathways	Identical		NE	NE
Mb0109	Rv0106	-	Conserved hypothetical protein	Identical		NE	NE
Mb0111c	Rv0107c	ctpI	cell wall and cell processes	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0112c	Rv0108c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0113	Rv0109	PE_PGRS1	PE/PPE	Variable	Non-syn SNP(s)	NE	NE
Mb0114	Rv0110	-	cell wall and cell processes	Identical		NE	NE
Mb0115	Rv0111	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0116	Rv0112	gca	cell wall and cell processes	Identical		NE	NE
Mb0117	Rv0113	gmhA	cell wall and cell processes	Identical		NE	NE
Mb0118	Rv0114	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0119	Rv0115	-	intermediary metabolism and respiration	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0120c	Rv0116c	-	cell wall and cell processes	Identical		NE	NE
Mb0121	Rv0117	oxyS	regulatory proteins	Identical		NE	NE
Mb0122c	Rv0118c	oxcA	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0123	Rv0119	fadD7	lipid metabolism	Identical		ES	NE
Mb0124c	Rv0120c	fusA2b	information pathways	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb0125c	Rv0120c	fusA2a	information pathways	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb0126c	Rv0121c	-	Conserved hypothetical protein	Identical		GD	NE
Mb0127	Rv0122	-	Conserved hypothetical protein	Identical		GD	NE
Mb0128	Rv0123	-	Conserved hypothetical protein	Identical		NE	NE
Mb0129	Rv0124	PE_PGRS2	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb0130	Rv0125	pepA	intermediate metabolism and respiration	Identical		NE	NE
Mb0131	Rv0126	treS	virulence, detoxification,adaptation	Identical		NE	NE
Mb0132	Rv0127	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0133	Rv0128	-	cell wall and cell processes	Identical		NE	NE
Mb0134c	Rv0129c	fbpC	lipid metabolism	Identical		NE	NE
Mb0135	Rv0130	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0136c	Rv0131c	fadE1	lipid metabolism	Identical		NE	NE
Mb0137c	Rv0132c	fgd2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0138	Rv0133	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0139-1	Rv0134	-	virulence, detoxification, adaptation	Variable	Pseudogene	NE	NE
Mb0139-2	Rv0134	-	virulence, detoxification, adaptation	Variable	Pseudogene	NE	NE
Mb0139-3	Rv0134	-	virulence, detoxification, adaptation	Variable	Pseudogene	NE	NE
Mb0139-4	Rv0134	-	virulence, detoxification, adaptation	Variable	Pseudogene	NE	NE
Mb0140c	Rv0135c	-	regulatory proteins	Identical		NE	NE
Mb0141	Rv0136	cyp138	intermediate metabolism and respiration	Identical		NE	NE
Mb0142c	Rv0137c	msrA	intermediate metabolism and respiration	Identical		NE	NE
Mb0143	Rv0138	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb0144	Rv0139	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GA
Mb0145	Rv0140	-	Conserved hypothetical protein	Identical		NE	NE
Mb0146c	Rv0141c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0147	Rv0142	-	Conserved hypothetical protein	Identical		NE	NE
Mb0148c	Rv0143c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0149	Rv0144	-	regulatory proteins	Identical		NE	GA
Mb0150	Rv0145	-	lipid metabolism	Identical		NE	GA
Mb0151	Rv0146	-	lipid metabolism	Identical		NE	GA
Mb0152	Rv0147	-	intermediate metabolism and respiration	Identical		NE	GA
Mb0153	Rv0148	-	intermediate metabolism and respiration	Identical		NE	GA
Mb0154	Rv0149	-	intermediate metabolism and respiration	Identical		NE	GA
Mb0155c	Rv0150c	-	Conserved hypothetical protein	Identical		NE	GA
Mb0156c	Rv0151c	PE1	PE/PPE	Variable	Non-syn SNP(s)	NE	GA
Mb0157c	Rv0152c	PE2	PE/PPE	Identical		NE	GA
Mb0158c	Rv0153c	ptbB	regulatory proteins	Variable	Non-syn SNP(s)	NE	GA
Mb0159c	Rv0154c	fadE2	lipid metabolism	Identical		NE	GA
Mb0160	Rv0155	pntAa	intermediate metabolism and respiration	Identical		N/A	GA
Mb0161	Rv0156	pntAb	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GA
Mb0162	Rv0157	pntB	intermediate metabolism and respiration	Identical		NE	GA
Mb0162A	Rv0157A	len: 42 aa. Equivalent to Rv0157A len: 42 aa	Conserved hypothetical protein	Identical		NE	GA
Mb0163	Rv0158	-	regulatory proteins	Identical		NE	GA
Mb0164c	Rv0159c	PE3	PE/PPE	Variable	Non-syn SNP(s)	NE	GA
Mb0165c	Rv0160c	PE4	PE/PPE	Variable	Non-syn SNP(s)	NE	GA
Mb0166	Rv0161	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0167c	Rv0162c	adhE1	intermediate metabolism and respiration	Identical		NE	NE
Mb0168	Rv0163	-	Conserved hypothetical protein	Identical		NE	NE
Mb0169	Rv0164	TB18.5	virulence, detoxification,adaptation	Identical		NE	ES
Mb0170c	Rv0165c	len: 230 aa. Equivalent to Rv0165c len: 223 aa	regulatory proteins	Variable	Frameshift in M. bovis	NE	NE
Mb0172	Rv0166	fadD5	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb0173	Rv0167	yrbE1A	virulence, detoxification,adaptation	Identical		NE	NE
Mb0174	Rv0168	yrbE1B	virulence, detoxification,adaptation	Identical		NE	NE
Mb0175	Rv0169	mce1A	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb0176	Rv0170	mce1B	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb0177	Rv0171	mce1C	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb0178	Rv0172	mce1D	virulence, detoxification,adaptation	Identical		NE	NE
Mb0179	Rv0173	lprK	cell wall and cell processes	Identical		NE	NE
Mb0180	Rv0174	mce1F	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb0181	Rv0175	-	cell wall and cell processes	Identical		NE	NE
Mb0182	Rv0176	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0183	Rv0177	-	Conserved hypothetical protein	Identical		NE	NE
Mb0184	Rv0178	-	cell wall and cell processes	Identical		NE	NE
Mb0185c	Rv0179c	lprO	cell wall and cell processes	Variable	Non-syn SNP(s)	GD	NE
Mb0186c	Rv0180c	len: 452 aa. Equivalent to Rv0180c	cell wall and cell processes	Identical		NE	NE
Mb0187c	Rv0181c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0188c	Rv0182c	sigG	information pathways	Identical		NE	NE
Mb0189	Rv0183	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0190	Rv0184	-	Conserved hypothetical protein	Identical		NE	NE
Mb0191	Rv0185	-	Conserved hypothetical protein	Identical		NE	NE
Mb0192	Rv0186	bglS	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0192A	Rv0186A	len: 53 aa. Equivalent to Rv0186A len: 53 aa	virulence, detoxification,adaptation	Identical		NE	NE
Mb0193	Rv0187	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0194	Rv0188	-	cell wall and cell processes	Identical		ES	NE
Mb0195c	Rv0189c	ilvD	intermediate metabolism and respiration	Identical		NE	ES
Mb0196	Rv0190	-	Conserved hypothetical protein	Identical		NE	GA
Mb0197	Rv0191	-	cell wall and cell processes	Identical		NE	GA
Mb0198	Rv0192A	-	cell wall and cell processes	Variable	Base insertion(s) leading to gene fusion event in M. bovis AF2122/97	NE	0
Mb0199c	Rv0193c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	GA
Mb0200	Rv0194	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	GA
Mb0201	Rv0195	-	regulatory proteins	Identical		NE	GA
Mb0202	Rv0196	-	regulatory proteins	Identical		NE	NE
Mb0203	Rv0197	-	intermediary metabolism and respiration	Variable	Truncated protein in M. bovis AF2122/97	GD	NE
Mb0204c	Rv0198c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0205	Rv0199	-	cell wall and cell processes	Identical		NE	NE
Mb0206	Rv0200	-	cell wall and cell processes	Identical		NE	NE
Mb0207c	Rv0201c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0208c	Rv0202c	mmpL11	cell wall and cell processes	Identical		NE	NE
Mb0209	Rv0203	-	cell wall and cell processes	Identical		ES	NE
Mb0210c	Rv0204c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0211	Rv0205	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	NE
Mb0212c	Rv0206c	mmpL3	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	ES
Mb0213c	Rv0207c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0214c	Rv0208c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0215	Rv0209	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb0216	Rv0210	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb0217	Rv0211	pckA	intermediate metabolism and respiration	Identical		NE	NE
Mb0218c	Rv0212c	nadR	regulatory proteins	Identical		NE	NE
Mb0219c	Rv0213c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0220	Rv0214	fadD4	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb0221c	Rv0215c	fadE3	lipid metabolism	Variable	Elongated protein in M. bovis AF2122/97	NE	0
Mb0222	Rv0216	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0223c	Rv0217c	lipW	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0224	Rv0218	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0225	Rv0219	-	cell wall and cell processes	Identical		NE	NE
Mb0226	Rv0220	lipC	intermediate metabolism and respiration	Identical		NE	NE
Mb0227	Rv0221	-	conserved hypotheticals	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0228c	Rv0223c	-	intermediary metabolism and respiration	Variable	Truncated protein in M. bovis AF2122/97	ES	NE
Mb0229c	Rv0224c	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	ES
Mb0230	Rv0225	-	cell wall and cell processes	Identical		ES	ES
Mb0231c	Rv0226c	-	cell wall and cell processes	Identical		ES	ES
Mb0232c	Rv0227c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb0233	Rv0228	-	intermediate metabolism and respiration	Identical		NE	ES
Mb0234c	Rv0229c	-	cell wall and cell processes	Identical		NE	GA
Mb0235c	Rv0230c	php	lipid metabolism	Variable	Non-syn SNP(s)	NE	GA
Mb0236	Rv0231	fadE4	lipid metabolism	Identical		NE	GA
Mb0237	Rv0232	-	regulatory proteins	Identical		NE	GA
Mb0238	Rv0233	nrdB	information pathways	Variable	Non-syn SNP(s)	NE	NE
Mb0239c	Rv0234c	gabD1	intermediate metabolism and respiration	Identical		NE	NE
Mb0240c	Rv0235c	-	cell wall and cell processes	Identical		ES	NE
Mb0241c	Rv0236c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	ES
Mb0242c	Rv0236A	-	cell wall and cell processes	Identical		NE	NE
Mb0243	Rv0237	lpqI	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0244	Rv0238	-	regulatory proteins	Identical		NE	NE
Mb0245	Rv0239	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0246	Rv0240	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0247c	Rv0241c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0248c	Rv0242c	fabG4	lipid metabolism	Identical		NE	NE
Mb0249	Rv0243	fadA2	lipid metabolism	Identical		ES	NE
Mb0250c	Rv0244c	fadE5	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb0251	Rv0245	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0252	Rv0246	-	cell wall and cell processes	Variable	Non-syn SNP(s)	GD	NE
Mb0253c	Rv0247c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0254c	Rv0248c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0255c	Rv0249c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0256c	Rv0250c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0257c	Rv0251c	hsp	virulence, detoxification,adaptation	Identical		NE	NE
Mb0258	Rv0252	nirB	intermediate metabolism and respiration	Identical		NE	NE
Mb0259	Rv0253	nirD	intermediate metabolism and respiration	Identical		NE	NE
Mb0260c	Rv0254c	cobU	intermediate metabolism and respiration	Identical		NE	NE
Mb0261c	Rv0255c	cobQ1	intermediate metabolism and respiration	Identical		NE	NE
Mb0262c	Rv0256c	PPE2	PE/PPE	Identical		NE	NE
Mb0263	Rv0257	-	conserved hypotheticals	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0264c	Rv0258c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0265c	Rv0259c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	NE
Mb0266c	Rv0260c	-	regulatory proteins	Identical		NE	NE
Mb0267c	Rv0261c	narK3	cell wall and cell processes	Identical		NE	NE
Mb0268c	Rv0262c	aac	virulence, detoxification,adaptation	Identical		NE	NE
Mb0269c	Rv0263c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0270c	Rv0264c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0271c	Rv0265c	-	cell wall and cell processes	Identical		NE	NE
Mb0272c	Rv0266c	oplA	intermediate metabolism and respiration	Identical		NE	NE
Mb0273	Rv0267	narU	cell wall and cell processes	Identical		NE	GA
Mb0274c	Rv0268c	-	Conserved hypothetical protein	Identical		NE	GA
Mb0275c	Rv0269c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0276	Rv0270	fadD2	lipid metabolism	Identical		NE	NE
Mb0277c	Rv0271c	fadE6	lipid metabolism	Identical		NE	NE
Mb0278c	Rv0272c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb0279c	Rv0273c	-	regulatory proteins	Identical		NE	NE
Mb0280	Rv0274	-	Conserved hypothetical protein	Identical		NE	NE
Mb0281c	Rv0275c	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0282	Rv0276	-	Conserved hypothetical protein	Identical		NE	NE
Mb0283c	Rv0277c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0284c		PE_PGRS3b				NE	0
Mb0285c	Rv0278c	PE_PGRS3a	PE/PPE	Variable	Frameshift in M. bovis	NE	NE
Mb0286c	Rv0278c	PE_PGRS3	PE/PPE	Variable	Truncated protein in M. bovis	NE	NE
Mb0287c	Rv0279c	PE_PGRS4	PE/PPE	Variable	Truncated protein in M. bovis	NE	NE
Mb0288	Rv0280	PPE3	PE/PPE	Variable	Non-syn SNP(s)	NE	NE
Mb0289	Rv0281	-	lipid metabolism	Identical		ES	NE
Mb0290	Rv0282	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	ES
Mb0291	Rv0283	-	cell wall and cell processes	Identical		ES	ES
Mb0292	Rv0284	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb0293	Rv0285	PE5	PE/PPE	Identical		ES	ES
Mb0294	Rv0286	PPE4	PE/PPE	Identical		ES	ES
Mb0295	Rv0287	esxG	cell wall and cell processes	Identical		ES	GD
Mb0296	Rv0288	esxH	cell wall and cell processes	Identical		ES	GD
Mb0297	Rv0289	-	cell wall and cell processes	Identical		ES	GD
Mb0298	Rv0290	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb0299	Rv0291	-	intermediate metabolism and respiration	Identical		ES	ES
Mb0300	Rv0292	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	ES
Mb0301c	Rv0293c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0302	Rv0294	tam	intermediate metabolism and respiration	Identical		NE	NE
Mb0303c	Rv0295c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0304c	Rv0296c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0305	Rv0297	PE_PGRS5	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb0306	Rv0298	-	Conserved hypothetical protein	Identical		NE	NE
Mb0307	Rv0299	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb0308	Rv0300	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0309	Rv0301	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0310	Rv0302	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0311	Rv0303	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0312c	Rv0304c	PPE5	PE/PPE	Variable	Base deletion(s) leading to gene fusion event in M. bovis	NE	NE
Mb0313c	Rv0305c	PPE6	PE/PPE	Variable	Base deletion(s) leading to gene fusion event in M. bovis	NE	NE
Mb0314	Rv0306	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0315c	Rv0307c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0316	Rv0308	-	cell wall and cell processes	Identical		NE	NE
Mb0317	Rv0309	-	cell wall and cell processes	Identical		NE	NE
Mb0318c	Rv0310c	-	Conserved hypothetical protein	Identical		GD	NE
Mb0319	Rv0311	-	Conserved hypothetical protein	Identical		NE	NE
Mb0320	Rv0312	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0321	Rv0313	-	Conserved hypothetical protein	Identical		NE	NE
Mb0322c	Rv0314c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0323	Rv0315	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0324	Rv0316	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0325c	Rv0317c	glpQ2	intermediate metabolism and respiration	Identical		NE	NE
Mb0326c	Rv0318c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0327	Rv0319	pcp	intermediate metabolism and respiration	Identical		NE	NE
Mb0328	Rv0320	-	cell wall and cell processes	Identical		NE	NE
