"Name","Type","Product","Start","End","Gene Length","No.Insertion sites","Insertion Index","Av. Coverage","No.Insertion sites DP>5","Insertion Index DP>5","Av. Coverage DP>5","Pos. IS","No.reads per IS","Total no. IS"
"MB0011c","CDS","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN",13713,13994,282,4,0.0141843971631206,2,1,0.00354609929078014,31,"13904;13942;13963;13971","1,3,1,31",36
"MB0012","CDS","PROBABLE CONSERVED MEMBRANE PROTEIN",14088,14876,789,19,0.0240811153358682,4,9,0.0114068441064639,15,"14022;14060;14089;14097;14178;14422;14544;14560;14632;14633;14662;14666;14678;14704;14750;14759;14785;14814;14873","1,9,15,1,4,1,12,29,66,3,10,1,27,1,45,1,6,4,1",237
"MB0013","CDS","POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG %28GLUTAMINE AMIDOTRANSFERASE%29",14913,15611,699,3,0.00429184549356223,1,0,0,0,"14814;14873;15592","4,1,1",6
"MB0014c","CDS","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB %28PROTEIN KINASE B%29 %28STPK B%29",15589,17469,1881,2,0.00106326422115896,1,0,0,0,"15592;15952","1,1",2
"MB0015c","CDS","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA %28PROTEIN KINASE A%29 %28STPK A%29",17466,18761,1296,0,0,0,0,0,0,"0","0",0
"MB0016c","CDS","PROBABLE PENICILLIN-BINDING PROTEIN PBPA",18758,20233,1476,14,0.00948509485094851,3,5,0.00338753387533875,7,"18983;18990;19017;19101;19135;19139;19721;19839;19964;20117;20161;20179;20228;20232","1,3,1,5,4,3,1,10,1,7,1,3,7,8",55
"MB0017c","CDS","PROBABLE CELL DIVISION PROTEIN RODA",20230,21639,1410,21,0.0148936170212766,3,8,0.00567375886524823,8,"20117;20161;20179;20228;20232;20346;20350;20548;20553;20554;20563;20670;20672;20757;20766;20788;21242;21297;21360;21364;21415","7,1,3,7,8,8,10,1,2,918,1,4,737,2,1,2,3,1,3,4,5",1728
"MB0018c","CDS","phosphoserine/threonine phosphatase pstp",21636,23180,1545,10,0.00647249190938511,5.5,5,0.00323624595469256,13,"22071;22082;22085;22162;22196;22197;22200;22203;22280;22315","1,18,9,2,2,2,68,13,1,9",125
"MB0019c","CDS","FHA-domain-containing protein",23269,23736,468,13,0.0277777777777778,3,6,0.0128205128205128,8.5,"23244;23264;23277;23325;23382;23395;23513;23551;23564;23583;23664;23690;23724","17,5,2,25,8,6,9,1,1,1,1,3,1",80
"MB0020c","CDS","FIG00824290: FHA domain protein",23860,25425,1566,9,0.00574712643678161,11,7,0.00446998722860792,11,"25035;25117;25124;25125;25126;25235;25243;25370;25393","3,1192,1,23,118,8,11,11,8",1375
"MB0021c","CDS","putative oxidoreductase%2C nitronate monooxygenase family",25894,26862,969,29,0.0299277605779154,6,19,0.0196078431372549,12,"25779;25832;25905;25932;25933;25950;26006;26023;26040;26048;26050;26058;26061;26062;26063;26124;26145;26158;26176;26180;26244;26263;26487;26605;26608;26703;26797;26814;26856","5,3,6,3,1,19,21,4,6,14,20,14,2,117,5,80,1,9,6,56,1,3,10,8,2,11,21,12,2",462
"MB0022c","CDS","probable transcriptional regulatory protein whib-like whib5",27004,27423,420,12,0.0285714285714286,15,11,0.0261904761904762,20,"26915;27110;27117;27164;27219;27228;27235;27275;27282;27337;27393;27423","5,107,7,242,44,108,8,7,32,10,1,20",591
"MB0023","CDS","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN",27576,28346,771,3,0.00389105058365759,48,3,0.00389105058365759,48,"27541;27552;28320","70,48,19",137
"MB0024","CDS","PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN %5BFIRST PART%5D",28343,29176,834,15,0.0179856115107914,8,10,0.0119904076738609,19.5,"28320;28438;28526;28535;28570;28644;28653;28688;28779;28874;28875;28897;28992;29069;29134","19,8,19,20,1,31,35,3,7,5,1,23,2,204,1",379
"MB0025","CDS","PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN %5BSECOND PART%5D",28918,29187,270,7,0.0259259259259259,5,4,0.0148148148148148,113.5,"28874;28875;28897;28992;29069;29134;29187","5,1,23,2,204,1,252",488
"MB0026","CDS","CONSERVED HYPOTHETICAL PROTEIN",29225,29587,363,14,0.0385674931129477,7,11,0.0303030303030303,16,"29134;29187;29218;29252;29336;29431;29451;29484;29523;29531;29535;29536;29549;29569","1,252,7,7,4,16,62,5,6,7,53,1,20,24",465
"MB0027","CDS","CONSERVED HYPOTHETICAL PROTEIN",29702,31135,1434,25,0.0174337517433752,9,17,0.0118549511854951,15,"29602;29640;29641;29649;29653;29756;29758;29784;29902;30135;30253;30343;30431;30461;30543;30661;30832;30934;30950;31017;31021;31023;31091;31128;31135","12,30,9,9,86,4,8,51,22,56,37,1,1,11,1,4,11,2,8,8,15,1,19,1,55",462
"MB0028","CDS","conserved hypothetical protein",31173,31490,318,12,0.0377358490566038,7,9,0.0283018867924528,18,"31091;31128;31135;31139;31191;31209;31247;31278;31309;31396;31457;31465","19,1,55,5,3,68,1,5,5,9,18,32",221
"MB0029","CDS","conserved hypothetical protein",31498,31803,306,7,0.0228758169934641,18,7,0.0228758169934641,18,"31396;31457;31465;31569;31575;31583;31687","9,18,32,42,10,66,7",184
"MB0030","CDS","Vegetative cell wall protein gp1 precursor",32041,33138,1098,17,0.0154826958105647,5,9,0.00819672131147541,17,"32121;32239;32302;32389;32420;32541;32645;32659;32741;32754;32763;32872;32926;33020;33044;33085;33099","1,7,103,1,113,10,13,17,4,2,5,4,35,3,35,2,3",358
"MB0031","CDS","conserved hypothetical protein",33208,33537,330,6,0.0181818181818182,3,2,0.00606060606060606,6.5,"33099;33203;33227;33345;33401;33519","3,1,7,6,3,1",21
"MB0032","CDS","possible remnant of a transposase",33566,33778,213,2,0.00938967136150235,2.5,0,0,0,"33519;33665","1,4",5
"MB0033","CDS","POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 %28AONS%29 %288-AMINO-7-KETOPELARGONATE SYNTHASE%29 %287-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE%29 %287-KAP SYNTHETASE%29 %28L-ALANINE--PIMELYL CoA LIGASE%29",34279,36594,2316,63,0.0272020725388601,13,46,0.0198618307426598,18.5,"34232;34235;34286;34288;34290;34350;34353;34371;34372;34404;34406;34458;34460;34490;34547;34556;34576;34665;34674;34742;34860;34943;34985;35061;35065;35161;35221;35348;35438;35498;35556;35571;35616;35649;35689;35736;35741;35767;35778;35859;35896;35897;36015;36058;36059;36060;36177;36193;36194;36224;36236;36296;36312;36323;36342;36354;36383;36387;36414;36441;36501;36505;36545","16,24,5,34,1,1,12,1,5,2,16,70,1,122,16,1,210,13,82,53,25,6,2,5,1,2,3,18,6,11,2,16,9,12,9,6,6,15,15,21,22,36,9,3,50,1,40,2,119,64,20,6,194,19,35,30,25,3,3,31,45,4,16",1652
"MB0034","CDS","PROBABLE ACYL CARRIER PROTEIN ACPA %28ACP%29",36591,36854,264,8,0.0303030303030303,11.5,6,0.0227272727272727,24.5,"36501;36505;36545;36602;36663;36670;36720;36788","45,4,16,2,7,385,5,33",497
"MB0035","CDS","Ketosteroid isomerase-related protein",36851,37246,396,6,0.0151515151515152,17.5,4,0.0101010101010101,31,"36788;36961;37079;37082;37200;37229","33,56,29,6,1,4",129
"MB0036","CDS","PROBABLE FATTY-ACID-COA LIGASE FADD34 %28FATTY-ACID-COA SYNTHETASE%29 %28FATTY-ACID-COA SYNTHASE%29",37243,38931,1689,26,0.0153937240970989,6,15,0.0088809946714032,25,"37200;37229;37339;37347;37494;37533;37534;37535;37612;37620;37652;37738;37770;37812;37871;37930;37933;37964;37989;38001;38082;38119;38312;38385;38430;38503","1,4,1,5,1,6,842,7,2,4,1079,11,181,6,151,6,4,1,36,39,1,25,22,2,32,1",2470
"MB0037c","CDS","conserved protein",39040,39813,774,8,0.0103359173126615,5,5,0.00645994832041344,6,"39158;39180;39211;39276;39298;39329;39713;39809","6,5,11,4,11,4,5,2",48
"MB0038c","CDS","PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN",39861,41186,1326,27,0.0203619909502262,5,14,0.0105580693815988,16,"39809;39831;39835;39836;39859;39878;39879;39893;39927;39953;39997;40009;40011;40024;40106;40127;40142;40342;40460;40482;40717;40744;40798;40829;40835;40862;41116","2,14,54,2,18,1,6,30,4,56,7,4,8,3,2,2,5,1,52,23,49,5,6,1,1,2,2",360
"MB0039","CDS","UPF0301 protein YqgE",41288,41896,609,11,0.0180623973727422,6,8,0.013136288998358,18,"41234;41242;41295;41360;41413;41482;41500;41778;41783;41854;41896","98,60,5,81,18,1,1,5,18,3,6",296
"MB0040c","CDS","POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN",41988,42335,348,9,0.0258620689655172,12,6,0.0172413793103448,25.5,"41896;41901;41972;42076;42144;42145;42230;42262;42263","6,12,2,39,666,3,12,474,1",1215
"MB0041c","CDS","SECRETED PROLINE RICH PROTEIN MTC28 %28PROLINE RICH 28 KDA ANTIGEN%29",42417,43349,933,11,0.0117899249732047,9,7,0.007502679528403,18,"42348;42512;42581;42630;42674;42699;42720;42722;42749;42840;42867","10,22,3,4,42,9,1,18,6,26,3",144
"MB0042","CDS","PROBABLE LEUCYL-tRNA SYNTHETASE LEUS %28LEUCINE--tRNA LIGASE%29 %28LEURS%29",43546,46455,2910,3,0.00103092783505155,5,2,0.000687285223367698,6,"43533;43535;44103","5,7,1",13
"MB0043c","CDS","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN %28PROBABLY MARR-FAMILY%29",46565,47191,627,5,0.00797448165869218,1,0,0,0,"46647;46765;46827;46987;47105","2,1,3,1,1",8
"MB0044c","CDS","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN %28PROBABLY GNTR-FAMILY%29",47350,48084,735,17,0.0231292517006803,18,12,0.0163265306122449,24.5,"47235;47236;47326;47327;47353;47445;47478;47563;47574;47596;47668;47692;47906;47955;47976;48024;48073","23,1,1,49,18,86,9,24,26,3,1,25,2,31,95,10,17",421
"MB0045c","CDS","POSSIBLE OXIDOREDUCTASE",48217,49011,795,15,0.0188679245283019,11,9,0.0113207547169811,29,"48318;48357;48382;48436;48500;48531;48597;48598;48640;48649;48650;48736;48738;48768;48977","4,4,7,1,15,12,1,302,29,51,11,1,2,44,31",515
"MB0046c","CDS","POSSIBLE HYDROLASE",49027,49923,897,10,0.0111482720178372,7,6,0.00668896321070234,10,"48977;49158;49276;49374;49484;49618;49736;49802;49890;49920","31,9,11,2,2,35,9,1,5,1",106
"MB0047c","CDS","MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 %28Inositol 1-phosphate synthetase%29 %28D-glucose 6-phosphate cycloaldolase%29 %28Glucose 6-phosphate cyclase%29 %28Glucocycloaldolase%29",50005,51108,1104,5,0.00452898550724638,2,2,0.00181159420289855,10,"49890;49920;49959;49990;50008","5,1,15,1,2",24
"MB0048c","CDS","Transcriptional regulator%2C PadR family",51169,51711,543,9,0.0165745856353591,3,4,0.00736648250460405,10,"51321;51387;51439;51479;51480;51505;51595;51597;51661","3,10,1,9,1,10,1,26,3",64
"MB0049c","CDS","POSSIBLE MEMBRANE PROTEIN",51812,52681,870,26,0.0298850574712644,5,13,0.0149425287356322,21,"51731;51767;51774;51775;51776;51779;51885;51893;51991;51993;51995;51997;52048;52057;52072;52109;52113;52115;52166;52190;52392;52409;52527;52528;52577;52645","1,3,3,577,3,3,6,611,21,1,51,4,17,145,2,32,38,4,19,2,1,1,8,2,17,8",1580
"MB0050","CDS","CONSERVED HYPOTHETICAL PROTEIN",52815,53228,414,13,0.0314009661835749,9,9,0.0217391304347826,24,"52705;52741;52785;52786;52815;52823;52859;52904;52982;53019;53020;53100;53138","72,8,1,85,3,42,9,86,2,1,24,6,10",349
"MB0051","CDS","PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 %28MUREIN POLYMERASE%29 %28PBP1%29: PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE %28PEPTIDOGLYCAN TGASE%29 %2B PENICILLIN-SENSITIVE TRANSPEPTIDASE %28DD-TRANSPEPTIDASE%29",53221,55689,2469,24,0.00972053462940462,4.5,12,0.00486026731470231,9,"53138;53634;53677;53795;53855;53963;53973;53980;53981;54114;54159;54428;54503;54506;54620;54621;54624;54738;54855;54953;55071;55434;55486;55552","10,3,36,7,11,1,16,1,320,2,1,1,1,6,8,4,8,7,3,5,30,2,2,1",486
"MB0052","CDS","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN",55686,57368,1683,26,0.0154486036838978,8.5,15,0.0089126559714795,20,"56015;56029;56031;56059;56092;56147;56149;56177;56210;56395;56413;56513;56531;56590;56696;56708;56716;56814;56917;56924;57031;57038;57042;57044;57149;57266","1,20,8,12,2,14,3,1,78,3,68,9,187,213,21,33,59,3,1,12,2,1,16,2,1,6",776
"MB0053","CDS","Intracellular protease",57400,57963,564,10,0.0177304964539007,7.5,6,0.0106382978723404,15.5,"57384;57489;57607;57608;57694;57726;57752;57830;57870;57948","2,1,2,8,1,21,7,36,10,52",140
"MB0054","CDS","30s ribosomal protein s6 rpsf",58182,58472,291,2,0.00687285223367698,26,2,0.00687285223367698,26,"58400;58472","38,14",52
"MB0055","CDS","single-strand binding protein ssb %28helix-destabilizing protein%29",58576,59070,495,2,0.00404040404040404,84.5,2,0.00404040404040404,84.5,"58472;58518","14,155",169
"MB0056","CDS","30s ribosomal protein s18-1 rpsr1",59112,59366,255,1,0.00392156862745098,106,1,0.00392156862745098,106,"59355","106",106
"MB0057","CDS","50s ribosomal protein l9 rpli",59399,59857,459,6,0.0130718954248366,2,2,0.00435729847494553,65,"59355;59713;59737;59739;59831;59857","106,1,1,24,1,3",136
"MB0058","CDS","HYPOTHETICAL PROTEIN",59886,60407,522,10,0.0191570881226054,3.5,4,0.00766283524904215,7,"59831;59857;59860;59901;59978;60019;60130;60147;60228;60248","1,3,4,1,8,1,14,2,6,6",46
"MB0059","CDS","PROBABLE REPLICATIVE DNA HELICASE DNAB",60386,63010,2625,0,0,0,0,0,0,"0","0",0
"MB0060","CDS","HYPOTHETICAL PROTEIN",63190,63882,693,30,0.0432900432900433,4,12,0.0173160173160173,18.5,"63086;63186;63204;63251;63253;63341;63368;63369;63371;63449;63450;63451;63459;63493;63500;63568;63618;63674;63676;63750;63758;63761;63764;63792;63794;63817;63855;63876;63879;63882","18,19,4,9,103,1,1,15,31,2,24,2,4,2,1,20,1,4,1,8,8,4,4,24,1,2,1,4,5,2",325
"MB0061","CDS","ADP-ribose 1-phosphate phophatase related protein",63899,64957,1059,9,0.0084985835694051,3,3,0.0028328611898017,24,"63792;63794;63817;63855;63876;63879;63882;64829;64947","24,1,2,1,4,5,2,49,3",91
"MB0062A","CDS","Hypothetical protein",65002,65340,339,10,0.0294985250737463,3,3,0.00884955752212389,9,"64947;64983;65043;65101;65161;65189;65197;65307;65308;65315","3,9,20,6,1,3,1,2,1,3",49
"MB0063","CDS","POSSIBLE CELLULASE CELA1 %28ENDOGLUCANASE%29 %28ENDO-1%2C4-BETA-GLUCANASE%29 %28FI-CMCASE%29 %28CARBOXYMETHYL CELLULASE%29",65542,66684,1143,27,0.0236220472440945,7,14,0.0122484689413823,28.5,"65492;65540;65541;65632;65658;65714;65750;65832;65861;65909;65925;65935;65939;65979;66027;66053;66057;66107;66238;66260;66385;66452;66503;66533;66570;66651;66684","134,2,33,3,2,30,4,130,31,10,3,4,60,60,27,1,18,1,4,3,1,11,1,9,11,7,1",601
"MB0064","CDS","POSSIBLE OXIDOREDUCTASE",66913,68352,1440,32,0.0222222222222222,6,17,0.0118055555555556,16,"66945;67001;67012;67063;67119;67121;67128;67130;67164;67173;67190;67238;67239;67308;67356;67772;67790;67890;67908;68024;68059;68142;68150;68177;68184;68195;68251;68253;68254;68268;68281;68313","13,3,6,16,1,2,7,7,2,45,6,4,17,11,2,12,1,4,3,2,1,1,25,149,4,168,168,1,8,24,1,36",750
"MB0065","CDS","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN",68610,71549,2940,48,0.0163265306122449,6.5,29,0.00986394557823129,11,"68607;68611;68725;68729;68768;68918;69036;69155;69175;69182;69190;69273;69293;69308;69531;69581;69583;69649;69653;69784;69802;69873;69904;70022;70078;70190;70196;70309;70327;70333;70408;70416;70445;70451;70526;70534;70618;70736;70807;70813;71017;71135;71150;71174;71292;71445;71511;71548","15,7,9,9,22,26,7,18,1,5,4,4,7,1,11,7,1,128,2,1,138,1,503,141,16,2,48,1,6,4,18,3,7,1,2,2,4,9,2,61,5,2,6,61,5,8,3,32",1376
"MB0065A","CDS","Possible antitoxin VapB1",71616,71855,240,11,0.0458333333333333,19,8,0.0333333333333333,37,"71511;71548;71563;71590;71592;71642;71666;71708;71710;71745;71760","3,32,10,156,1,42,16,95,19,2,71",447
"MB0066","CDS","possible toxin vapc1",71848,72249,402,12,0.0298507462686567,14,8,0.0199004975124378,45.5,"71745;71760;71942;71987;72000;72020;72032;72033;72060;72105;72118;72138","2,71,363,13,49,2,14,1,67,14,42,3",641
"MB0067c","CDS","PROBABLE ISOCITRATE DEHYDROGENASE %5BNADP%5D ICD2 %28OXALOSUCCINATE DECARBOXYLASE%29 %28IDH%29 %28NADP%2B-SPECIFIC ICDH%29 %28IDP%29",72301,74538,2238,15,0.00670241286863271,2,6,0.00268096514745308,10.5,"72267;72362;72385;72429;72737;72855;73158;73260;73444;73460;73593;73711;73898;74253;74371","1,1,1,2,1,1,12,1,3,9,1,6,13,42,6",100
"MB0068c","CDS","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN %28POSSIBLY TETR-FAMILY%29",74656,75225,570,11,0.0192982456140351,2,5,0.0087719298245614,9,"74660;74725;74751;74778;74819;74937;74958;74960;75039;75078;75218","2,1,1,1,45,30,1,5,7,9,2",104
"MB0069","CDS","PROBABLE OXIDOREDUCTASE",75328,76239,912,10,0.0109649122807018,6.5,5,0.00548245614035088,19,"75218;75524;75526;75529;75642;75644;75773;75980;76008;76098","2,27,9,4,19,15,20,3,3,1",103
"MB0070c","CDS","PROBABLE L-SERINE DEHYDRATASE SDAA %28L-SERINE DEAMINASE%29 %28SDH%29 %28L-SD%29",76264,77649,1386,11,0.00793650793650794,8,7,0.00505050505050505,12,"76626;76744;76800;76915;76916;76917;77019;77034;77137;77318;77559","55,37,5,1,9,1,1,12,8,2,26",157
"MB0071c","CDS","serine hydroxymethyltransferase glya2 %28serine methylase 2%29 %28shmt 2%29",77646,78923,1278,13,0.0101721439749609,13,9,0.00704225352112676,19,"77559;78204;78322;78353;78471;78478;78596;78614;78617;78644;78695;78732;78813","26,2,9,16,137,3,4,19,6,1,213,13,73",522
"MB0072","CDS","POSSIBLE MATURASE",79513,80229,717,12,0.0167364016736402,2.5,5,0.00697350069735007,12,"79427;79707;79762;79814;79825;79837;79932;79955;80035;80053;80148;80153","14,2,1,3,8,2,2,8,12,93,2,2",149
"MB0073","CDS","PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER",80660,81709,1050,33,0.0314285714285714,8,19,0.0180952380952381,25,"80589;80650;80706;80707;80752;80825;80870;81085;81099;81100;81136;81140;81141;81165;81203;81217;81254;81258;81283;81294;81316;81365;81412;81434;81486;81500;81530;81531;81604;81632;81635;81648;81655","4,1,1,9,4,33,2,4,1,1,36,25,1,8,29,17,52,35,8,211,6,2,182,3,9,2,32,1,8,9,17,36,2",791
"MB0074","CDS","PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ",81712,82554,843,20,0.0237247924080664,10,14,0.0166073546856465,15,"81604;81632;81635;81648;81655;81750;81753;81816;81924;81934;81957;81965;82042;82281;82337;82399;82436;82455;82541;82554","8,9,17,36,2,19,40,9,49,15,1,1,2,1,15,2,15,11,61,7",320
"MB0075","CDS","PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ",82557,82703,147,5,0.0340136054421769,7,3,0.0204081632653061,11,"82455;82541;82554;82624;82684","11,61,7,1,2",82
"MB0076","CDS","Xaa-Pro dipeptidase %28EC 3.4.13.9%29",82783,84018,1236,22,0.0177993527508091,6.5,12,0.00970873786407767,38,"82684;82745;82802;82863;82914;82915;83033;83151;83178;83276;83322;83323;83328;83394;83440;83446;83865;83900;83983;83984;84000;84018","2,2,2,2,2,33,83,43,2,78,131,8,14,31,137,73,27,1,1,2,4,5",683
"MB0077","CDS","PROBABLE AMINOTRANSFERASE",84031,85203,1173,30,0.0255754475703325,4.5,15,0.0127877237851662,26,"83983;83984;84000;84018;84102;84118;84271;84272;84273;84390;84412;84439;84462;84471;84530;84580;84752;84791;84848;84849;84871;84875;84909;84929;84955;84989;84993;85047;85142;85195","1,2,4,5,3,10,1,61,2,60,3,9,169,20,4,7,1,6,2,1,141,47,1,26,1,3,100,36,4,13",743
"MB0078c","CDS","PROBABLE MEMBRANE PROTEIN",85218,85607,390,9,0.0230769230769231,4,3,0.00769230769230769,13,"85142;85195;85260;85313;85337;85493;85494;85495;85496","4,13,4,11,4,1,420,4,3",464
"MB0079c","CDS","PROBABLE OXIDOREDUCTASE",85671,86501,831,16,0.0192539109506619,6.5,9,0.0108303249097473,9,"85612;85639;85757;85895;86013;86022;86140;86199;86278;86297;86317;86348;86367;86415;86466;86485","286,2,1,4,4,3,1,6,1,63,7,23,7,8,19,9",444
"MB0080","CDS","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN",86563,87168,606,12,0.0198019801980198,10,8,0.0132013201320132,16,"86466;86485;86540;86628;86658;86718;86746;86843;86844;86872;86961;87161","19,9,11,2,2,5,1,34,1,13,28,31",156
"MB0081c","CDS","HYPOTHETICAL PROTEIN",87243,87836,594,10,0.0168350168350168,9,8,0.0134680134680135,15.5,"87161;87352;87505;87524;87534;87550;87623;87642;87668;87794","31,8,10,56,6,2,5,50,2,21",191
"MB0081A","CDS","Conserved protein",87833,88039,207,3,0.0144927536231884,11,3,0.0144927536231884,11,"87794;87912;87934","21,11,9",41
"MB0082","CDS","Ribosome hibernation promoting factor Hpf",88239,89060,822,13,0.0158150851581509,6,8,0.0097323600973236,19,"88151;88199;88269;88317;88373;88491;88584;88600;88641;88697;88718;88815;88991","18,109,6,98,20,52,2,3,5,13,2,2,2",332
"MB0083","CDS","Putative DNA-binding protein",89057,89515,459,8,0.0174291938997821,3,3,0.0065359477124183,48,"88991;89302;89390;89392;89420;89435;89508;89512","2,2,51,4,8,1,48,1",117
"MB0084","CDS","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN",89610,89954,345,10,0.0289855072463768,15,8,0.0231884057971014,33.5,"89508;89512;89630;89666;89716;89804;89834;89836;89922;89954","48,1,5,92,72,21,46,9,7,4",305
"MB0085","CDS","PROBABLE OXIDOREDUCTASE",89959,90438,480,7,0.0145833333333333,4,3,0.00625,10,"89922;89954;90020;90138;90277;90327;90416","7,4,10,2,2,2,21",48
"MB0086","CDS","PROBABLE OXIDOREDUCTASE",90435,92363,1929,28,0.0145152928978745,4.5,14,0.00725764644893727,11,"90327;90416;90526;90534;90538;90644;90656;90854;90858;90859;90972;90976;90991;91084;91109;91202;91954;92072;92074;92113;92192;92213;92231;92241;92257;92312;92331;92359","2,21,5,4,4,6,7,4,43,2,41,19,1,1,1,3,4,11,1,7,3,4,6,7,14,31,2,11",265
"MB0087","CDS","POSSIBLE FORMATE HYDROGENLYASE HYCD %28FHL%29",92363,93313,951,8,0.00841219768664564,12.5,7,0.00736067297581493,14,"92257;92312;92331;92359;92375;92430;92892;93010","14,31,2,11,7,7,16,126",214
"MB0088","CDS","POSSIBLE HYDROGENASE HYCP",93324,93986,663,2,0.00301659125188537,13,2,0.00301659125188537,13,"93692;93810","21,5",26
"MB0089","CDS","POSSIBLE HYDROGENASE HYCQ",93986,95452,1467,14,0.00954328561690525,8.5,9,0.00613496932515337,11,"94134;94163;94175;94252;94281;94293;94347;94404;94457;94522;94575;94601;94695;94813","9,8,26,145,6,25,10,21,3,11,2,1,3,3",273
"MB0090","CDS","possible formate hydrogenase hyce %28fhl%29",95449,96927,1479,3,0.00202839756592292,9,2,0.00135226504394861,19.5,"96377;96495;96893","2,30,9",41
"MB0091","CDS","possible polyketide cyclase/dehydrase",96962,97636,675,5,0.00740740740740741,3,2,0.00296296296296296,8.5,"96893;97011;97021;97139;97626","9,3,1,1,8",22
"MB0092","CDS","POSSIBLE METHYLTRANSFERASE/METHYLASE",97793,98386,594,6,0.0101010101010101,6,3,0.00505050505050505,14,"97744;97930;98179;98216;98297;98315","14,8,135,2,4,1",164
"MB0093","CDS","POSSIBLE MEMBRANE PROTEIN",98515,99285,771,20,0.0259403372243839,7,11,0.0142671854734112,18,"98433;98532;98611;98612;98650;98729;98737;98855;98882;99000;99056;99070;99106;99107;99174;99188;99220;99225;99241;99242","18,8,2,2,7,4,22,21,8,1,4,3,1,388,7,3,18,27,11,1",556
