#HMM - Genes
#genes: ES=419, GD=163, NE=2993, GA=324, N/A=7
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0058	dnaB	replicative DNA helicase	39	39	0	0	0	0.0769	1.00	ES
Rv0059		hypothetical protein	21	0	0	0	21	1.0000	338.95	GA
Rv0060		hypothetical protein	23	22	0	1	0	0.1739	221.50	ES
Rv0061c		hypothetical protein	6	0	0	6	0	1.0000	102.33	NE
Rv0062	celA1	cellulase CelA	22	0	0	22	0	1.0000	148.91	NE
Rv0063		oxidoreductase	24	0	0	24	0	0.9583	158.26	NE
Rv0063a		hypothetical protein	2	0	0	2	0	0.5000	19.00	NE
Rv0064		transmembrane protein	69	0	0	69	0	0.9420	71.38	NE
Rv0064A	vapB1	antitoxin VapB1	4	0	0	4	0	1.0000	357.00	NE
Rv0065	vapC1	ribonuclease VapC1	8	0	0	8	0	0.8750	174.43	NE
Rv0066c	icd2	isocitrate dehydrogenase	38	0	0	38	0	0.8421	56.06	NE
Rv0067c		transcriptional regulator	12	0	0	12	0	0.9167	46.27	NE
Rv0068		oxidoreductase	12	0	0	12	0	1.0000	187.25	NE
Rv0069c	sdaA	L-serine dehydratase	12	0	0	12	0	1.0000	77.50	NE
Rv0070c	glyA2	serine hydroxymethyltransferase	18	0	0	18	0	0.9444	139.88	NE
Rv0071		maturase	8	0	0	8	0	0.8750	143.86	NE
Rv0072		glutamine ABC transporter permease	17	0	0	17	0	0.9412	327.00	NE
Rv0073		glutamine ABC transporter ATP-binding protein	16	0	0	16	0	1.0000	278.25	NE
Rv0074		hypothetical protein	20	0	0	20	0	1.0000	147.80	NE
Rv0075		aminotransferase	25	0	0	25	0	0.9600	187.50	NE
Rv0076c		membrane protein	3	0	0	3	0	1.0000	363.33	NE
Rv0077c		oxidoreductase	15	0	0	15	0	1.0000	117.20	NE
Rv0078		transcriptional regulator	9	0	0	9	0	1.0000	35.89	NE
Rv0078A		hypothetical protein	10	0	0	10	0	1.0000	308.30	NE
Rv0078B		hypothetical protein	2	0	0	2	0	1.0000	234.50	NE
Rv0079		hypothetical protein	14	0	0	14	0	1.0000	134.71	NE
Rv0080		hypothetical protein	5	0	0	5	0	1.0000	105.60	NE
Rv0081		HTH-type transcriptional regulator	6	0	0	6	0	1.0000	157.00	NE
Rv0082		oxidoreductase	7	0	0	7	0	0.7143	69.20	NE
Rv0083		oxidoreductase	23	0	0	23	0	0.9130	136.43	NE
Rv0084	hycD	formate hydrogenlyase HycD	9	0	0	9	0	0.8889	90.12	NE
Rv0085	hycP	hydrogenase HycP	4	0	0	4	0	0.7500	19.00	NE
Rv0086	hycQ	hydrogenase HycQ	15	0	0	15	0	0.9333	65.21	NE
Rv0087	hycE	formate hydrogenase HycE	26	0	0	26	0	0.7308	38.37	NE
Rv0088		polyketide cyclase/dehydrase	14	0	0	14	0	0.9286	61.08	NE
Rv0089		methyltransferase	11	0	0	11	0	1.0000	96.09	NE
Rv0090		membrane protein	12	0	0	12	0	1.0000	193.58	NE
Rv0091	mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	11	0	0	11	0	0.9091	174.90	NE
Rv0092	ctpA	cation transporter ATPase A	30	0	0	30	0	0.8333	72.28	NE
Rv0093c		membrane protein	9	0	0	9	0	0.8889	50.00	NE
Rv0094c		hypothetical protein	14	0	0	14	0	1.0000	181.57	NE
Rv0095c		hypothetical protein	10	0	0	10	0	0.6000	32.33	NE
Rv0096	PPE1	PPE family protein PPE1	34	0	0	34	0	0.9706	146.36	NE
Rv0097		oxidoreductase	26	0	0	26	0	1.0000	138.19	NE
Rv0098	fcoT	fatty acyl CoA thioesterase FcoT	12	0	0	12	0	0.9167	85.36	NE
Rv0099	fadD10	fatty-acid--CoA ligase FadD10	32	0	0	32	0	0.8750	50.79	NE
Rv0100		hypothetical protein	4	0	0	4	0	1.0000	111.75	NE
Rv0101	nrp	peptide synthetase Nrp	123	0	0	123	0	0.9268	97.24	NE
Rv0102		integral membrane protein	42	41	0	1	0	0.1905	8.50	ES
Rv0103c	ctpB	cation-transporter P-type ATPase B	31	0	0	31	0	0.9355	177.90	NE
Rv0104		hypothetical protein	28	0	0	28	0	0.9643	216.63	NE
Rv0105c	rpmB1	50S ribosomal protein L28	5	0	0	5	0	0.8000	152.50	NE
Rv0106		hypothetical protein	12	0	0	12	0	0.9167	105.18	NE
Rv0107c	ctpI	cation-transporter ATPase I	66	0	0	66	0	0.8485	106.32	NE
Rv0108c		hypothetical protein	2	0	0	2	0	1.0000	202.00	NE
Rv0109	PE_PGRS1	PE-PGRS family protein PE_PGRS1	28	0	0	28	0	0.8214	81.61	NE
Rv0110		integral membrane protein	13	0	0	13	0	1.0000	297.46	NE
Rv0111		acyltransferase	43	0	0	43	0	0.9767	142.05	NE
Rv0112	gca	GDP-mannose 4%2C6-dehydratase	31	0	0	31	0	0.9677	52.57	NE
Rv0113	gmhA	phosphoheptose isomerase	13	0	0	13	0	0.9231	29.33	NE
Rv0114	gmhB	D-glycero-alpha-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase	10	0	0	10	0	1.0000	238.50	NE
Rv0115	hddA	D-alpha-D-heptose-7-phosphate kinase HddA	18	0	0	18	0	0.9444	207.41	NE
Rv0115a		hypothetical protein	3	0	0	3	0	1.0000	209.67	NE
Rv0116c	ldtA	L%2CD-transpeptidase LdtA	18	0	0	18	0	0.9444	219.88	NE
Rv0117	oxyS	oxidative stress response regulatory protein OxyS	17	0	0	17	0	0.9412	70.31	NE
Rv0118c	oxcA	oxalyl-CoA decarboxylase OxcA	26	0	0	26	0	0.8077	65.71	NE
Rv0119	fadD7	fatty-acid--CoA ligase FadD7	14	0	0	14	0	0.7143	13.60	NE
Rv0120c	fusA2	elongation factor G	28	0	0	28	0	0.8214	37.61	NE
Rv0121c		hypothetical protein	10	0	0	10	0	0.9000	64.56	NE
Rv0122		hypothetical protein	9	0	0	9	0	0.7778	63.00	NE
Rv0123		hypothetical protein	9	0	0	9	0	0.6667	66.83	NE
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	14	0	0	14	0	0.8571	78.58	NE
Rv0125	pepA	serine protease PepA	10	0	0	10	0	1.0000	86.80	NE
Rv0126	treS	trehalose synthase/amylase TreS	31	0	0	31	0	1.0000	266.77	NE
Rv0127	mak	maltokinase	30	0	0	30	0	1.0000	117.77	NE
Rv0128		transmembrane protein	20	0	0	20	0	1.0000	279.50	NE
Rv0129c	fbpC	diacylglycerol acyltransferase/mycolyltransferase Ag85C	28	0	0	28	0	0.9286	173.54	NE
Rv0130	htdZ	3-hydroxyl-thioester dehydratase	4	0	0	4	0	1.0000	97.00	NE
Rv0131c	fadE1	acyl-CoA dehydrogenase FadE1	18	0	0	18	0	1.0000	104.78	NE
Rv0132c	fgd2	F420-dependent glucose-6-phosphate dehydrogenase	15	0	0	15	0	0.9333	191.21	NE
Rv0133		GCN5-like N-acetyltransferase	8	0	0	8	0	1.0000	173.75	NE
Rv0134	ephF	epoxide hydrolase EphF	12	0	0	12	0	1.0000	229.58	NE
Rv0135c		transcriptional regulator	12	0	0	12	0	0.9167	90.82	NE
Rv0136	cyp138	cytochrome P450 Cyp138	23	0	0	23	0	1.0000	191.61	NE
Rv0137c	msrA	peptide methionine sulfoxide reductase MsrA	11	0	0	9	2	1.0000	214.73	NE
Rv0138		hypothetical protein	7	0	0	0	7	1.0000	723.71	GA
Rv0139		oxidoreductase	12	0	0	2	10	1.0000	328.83	GA
Rv0140		hypothetical protein	16	0	0	16	0	0.9375	165.33	NE
Rv0141c		hypothetical protein	9	0	0	9	0	0.8889	124.12	NE
Rv0142		hypothetical protein	7	0	0	7	0	1.0000	84.43	NE
Rv0143c		transmembrane protein	28	0	0	28	0	1.0000	182.96	NE
Rv0144		transcriptional regulator	14	0	0	0	14	1.0000	388.79	GA
Rv0145		S-adenosylmethionine-dependent methyltransferase	15	0	0	0	15	1.0000	229.80	GA
Rv0146		S-adenosylmethionine-dependent methyltransferase	17	0	0	0	17	0.9412	250.94	GA
Rv0147		aldehyde dehydrogenase	26	0	0	0	26	0.9615	317.80	GA
Rv0148		short-chain type dehydrogenase/reductase	17	0	0	0	17	1.0000	251.82	GA
Rv0149		quinone oxidoreductase	22	0	0	0	22	0.9545	188.62	GA
Rv0150c		hypothetical protein	5	0	0	0	5	1.0000	44.80	GA
Rv0151c	PE1	PE family protein PE1	44	0	0	0	44	1.0000	307.36	GA
Rv0152c	PE2	PE family protein PE2	40	0	0	0	40	0.9500	361.39	GA
Rv0153c	ptbB	phosphotyrosine protein phosphatase	11	0	0	0	11	1.0000	121.55	GA
Rv0154c	fadE2	acyl-CoA dehydrogenase FadE2	12	0	0	0	12	0.9167	280.18	GA
Rv0155	pntAa	NAD(P) transhydrogenase subunit alpha PntAa	11	0	0	0	11	1.0000	170.73	GA
Rv0156	pntAb	NAD(P) transhydrogenase subunit alpha PntAb	1	0	0	0	1	1.0000	357.00	GA
Rv0157	pntB	NAD(P) transhydrogenase subunit beta PntB	15	0	0	0	15	1.0000	231.53	GA
Rv0157A		hypothetical protein	5	0	0	0	5	1.0000	137.00	GA
Rv0158		transcriptional regulator	16	0	0	0	16	1.0000	283.06	GA
Rv0159c	PE3	PE family protein PE3	50	0	0	0	50	1.0000	395.86	GA
Rv0160c	PE4	PE family protein PE4	42	0	0	14	28	0.9286	281.26	GA
Rv0161		oxidoreductase	19	0	0	19	0	1.0000	79.21	NE
Rv0162c	adhE1	zinc-type alcohol dehydrogenase subunit E	17	0	0	17	0	0.9412	71.94	NE
Rv0163		hypothetical protein	11	0	0	11	0	1.0000	185.45	NE
Rv0164	TB18.5	hypothetical protein	9	7	0	2	0	0.2222	759.00	ES
Rv0165c	mce1R	transcriptional regulator Mce1R	6	0	0	6	0	0.8333	185.80	NE
Rv0166	fadD5	fatty-acid--CoA ligase FadD5	28	0	0	28	0	0.9286	229.12	NE
Rv0167	yrbE1A	membrane protein	7	0	0	7	0	1.0000	118.86	NE
Rv0168	yrbE1B	membrane protein	15	0	0	15	0	1.0000	171.33	NE
Rv0169	mce1A	Mce family protein Mce1A	39	0	0	39	0	0.9231	201.92	NE
Rv0170	mce1B	Mce family protein Mce1B	18	0	0	18	0	1.0000	163.22	NE
Rv0171	mce1C	Mce family protein Mce1C	25	0	0	25	0	1.0000	140.52	NE
Rv0172	mce1D	Mce family protein Mce1D	33	0	0	33	0	0.9394	193.87	NE
Rv0173	lprK	Mce family lipoprotein LprK	16	0	0	16	0	0.9375	210.13	NE
Rv0174	mce1F	Mce family protein Mce1F	31	0	0	31	0	1.0000	180.87	NE
Rv0175		Mce associated membrane protein	9	0	0	9	0	0.8889	278.25	NE
Rv0176		Mce associated transmembrane protein	15	0	0	15	0	0.9333	103.00	NE
Rv0177		Mce associated protein	12	0	0	12	0	1.0000	81.75	NE
Rv0178		Mce associated membrane protein	12	0	0	12	0	1.0000	169.25	NE
Rv0179c	lprO	lipoprotein LprO	23	0	0	23	0	1.0000	198.74	NE
Rv0180c		transmembrane protein	29	0	0	29	0	0.9655	17.50	NE
Rv0181c		hypothetical protein	16	0	0	16	0	1.0000	271.81	NE
Rv0182c	sigG	ECF RNA polymerase sigma factor SigG	21	0	0	21	0	1.0000	217.10	NE
Rv0183		lysophospholipase	16	0	0	16	0	1.0000	296.88	NE
Rv0184		hypothetical protein	11	0	0	11	0	0.9091	101.50	NE
Rv0185		hypothetical protein	10	0	0	10	0	0.7000	71.14	NE
Rv0186	bglS	beta-glucosidase BglS	34	0	0	34	0	0.9706	75.27	NE
Rv0186A	mymT	metallothionein	4	0	0	4	0	1.0000	197.75	NE
Rv0187		O-methyltransferase	8	0	0	8	0	1.0000	67.12	NE
Rv0188		transmembrane protein	11	0	0	11	0	1.0000	185.36	NE
Rv0189c	ilvD	dihydroxy-acid dehydratase	23	23	0	0	0	0.0870	1.00	ES
Rv0190		hypothetical protein	3	0	0	0	3	1.0000	202.33	GA
Rv0191		MFS-type transporter	20	0	0	0	20	1.0000	326.35	GA
Rv0192		hypothetical protein	14	0	0	0	14	1.0000	392.14	GA
Rv0193c		hypothetical protein	35	0	0	0	35	1.0000	262.37	GA
Rv0194		multidrug ABC transporter ATPase/permease	56	0	0	0	56	1.0000	325.89	GA
Rv0195		two component transcriptional regulator	6	0	0	0	6	1.0000	405.50	GA
Rv0196		HTH-type transcriptional regulator	7	0	0	7	0	1.0000	213.14	NE
Rv0197		oxidoreductase	34	0	0	34	0	0.9706	91.64	NE
Rv0198c	zmp1	zinc metalloprotease	43	0	0	43	0	0.8837	80.55	NE
Rv0199		membrane protein	12	0	0	12	0	1.0000	141.58	NE
Rv0200		transmembrane protein	8	0	0	8	0	0.8750	132.71	NE
Rv0201c		hypothetical protein	9	0	0	9	0	1.0000	108.11	NE
Rv0202c	mmpL11	transmembrane transport protein MmpL11	39	0	0	39	0	0.9487	140.22	NE
Rv0203		hypothetical protein	4	0	0	4	0	1.0000	81.00	NE
Rv0204c		transmembrane protein	20	0	0	20	0	1.0000	184.70	NE
Rv0205		transmembrane protein	13	0	0	13	0	1.0000	169.92	NE
Rv0206c	mmpL3	transmembrane transport protein MmpL3	35	31	0	4	0	0.1429	128.40	ES
Rv0207c		hypothetical protein	9	0	0	9	0	1.0000	202.22	NE
Rv0208c		tRNA (guanine-N(7)-)-methyltransferase	12	0	0	12	0	1.0000	101.17	NE
Rv0209		hypothetical protein	15	0	0	15	0	0.8667	100.92	NE
Rv0210		hypothetical protein	13	0	0	11	2	1.0000	319.46	NE
Rv0211	pckA	phosphoenolpyruvate carboxykinase	25	0	0	16	9	0.9600	190.92	NE
Rv0212c	nadR	transcriptional regulator NadR	7	0	0	7	0	0.8571	203.00	NE
Rv0213c		methyltransferase	31	0	0	31	0	0.9677	195.77	NE
Rv0214	fadD4	fatty-acid--CoA ligase FadD4	34	0	0	34	0	0.9706	149.39	NE
Rv0216		hydratase	24	0	0	24	0	0.7500	51.61	NE
Rv0217c	lipW	esterase LipW	22	0	0	22	0	0.9545	98.19	NE
Rv0218		transmembrane protein	19	0	0	19	0	0.9474	169.06	NE
Rv0219		transmembrane protein	12	0	0	12	0	1.0000	97.33	NE
Rv0220	lipC	esterase LipC	25	0	0	25	0	0.8800	95.14	NE
Rv0221		diacyglycerol O-acyltransferase	28	0	0	28	0	0.9286	202.77	NE
Rv0222	echA1	enoyl-CoA hydratase EchA1	9	0	0	9	0	1.0000	87.78	NE
Rv0223c		aldehyde dehydrogenase	26	0	0	26	0	0.8846	102.04	NE
Rv0224c		methyltransferase	16	15	0	1	0	0.0625	32.00	ES
Rv0225		hypothetical protein	20	20	0	0	0	0.1000	1.00	ES
Rv0226c		transmembrane protein	30	28	0	0	2	0.1000	363.00	ES
Rv0227c		membrane protein	24	24	0	0	0	0.0000	0.00	ES
Rv0228		acyltransferase	14	13	0	0	1	0.1429	24.50	ES
Rv0229c		hypothetical protein	8	0	0	0	8	1.0000	277.38	GA
Rv0230c	php	phosphotriesterase	16	0	0	0	16	1.0000	316.50	GA
Rv0231	fadE4	acyl-CoA dehydrogenase FadE4	37	0	0	0	37	1.0000	334.70	GA
Rv0232		transcriptional regulator	9	0	0	0	9	1.0000	391.11	GA
Rv0233	nrdB	ribonucleoside-diphosphate reductase subunit beta NrdB	12	0	0	10	2	1.0000	231.58	NE
Rv0234c	gabD1	succinate-semialdehyde dehydrogenase	24	0	0	24	0	0.9167	51.32	NE
Rv0235c		transmembrane protein	27	0	0	27	0	0.9259	105.28	NE
Rv0236c	aftD	alpha-(1->3)-arabinofuranosyltransferase	40	39	0	1	0	0.0500	193.50	ES
Rv0236A		hypothetical protein	4	0	0	4	0	0.2500	43.00	NE
Rv0237	lpqI	lipoprotein LpqI	14	0	0	14	0	0.7857	121.91	NE
Rv0238		transcriptional regulator	13	0	0	13	0	0.8462	31.55	NE
Rv0239	vapB24	antitoxin VapB24	2	0	0	2	0	1.0000	130.50	NE
Rv0240	vapC24	ribonuclease VapC24	9	0	0	9	0	1.0000	188.11	NE
Rv0241c	htdX	3-hydroxyacyl-thioester dehydratase HtdX	17	0	0	17	0	0.8824	82.40	NE
Rv0242c	fabG4	3-oxoacyl-ACP reductase FabG	11	0	0	11	0	0.9091	56.80	NE
Rv0243	fadA2	acetyl-CoA acetyltransferase FadA	20	0	0	20	0	1.0000	83.20	NE
Rv0244c	fadE5	acyl-CoA dehydrogenase FadE5	23	0	0	23	0	1.0000	31.70	NE
Rv0245		oxidoreductase	5	0	0	5	0	1.0000	138.60	NE
Rv0246		integral membrane protein	34	0	0	34	0	0.9706	125.36	NE
Rv0247c		succinate dehydrogenase iron-sulfur subunit	13	0	0	13	0	0.9231	41.08	NE
Rv0248c		succinate dehydrogenase flavoprotein subunit	40	0	0	40	0	0.9750	63.72	NE
Rv0249c		succinate dehydrogenase membrane anchor subunit	23	0	0	23	0	1.0000	60.04	NE
Rv0250c		hypothetical protein	4	0	0	4	0	1.0000	75.75	NE
Rv0251c	hsp	heat shock protein	6	0	0	6	0	1.0000	231.83	NE
Rv0252	nirB	nitrite reductase large subunit NirB	41	0	0	41	0	0.9512	143.21	NE
Rv0253	nirD	nitrite reductase small subunit NirD	8	0	0	8	0	0.8750	251.71	NE
Rv0254c	cobU	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase	6	0	0	6	0	1.0000	264.83	NE
Rv0255c	cobQ1	cobyric acid synthase	15	0	0	15	0	0.8667	135.85	NE
Rv0256c	PPE2	PPE family protein PPE2	32	0	0	32	0	0.9688	209.68	NE
Rv0257		hypothetical protein	4	0	0	4	0	1.0000	157.00	NE
Rv0258c		hypothetical protein	9	0	0	9	0	0.4444	87.00	NE
Rv0259c		hypothetical protein	8	0	0	8	0	0.8750	81.71	NE
Rv0260c		transcriptional regulator	22	0	0	22	0	0.9091	77.75	NE
Rv0261c	narK3	nitrate/nitrite transporter	26	0	0	26	0	1.0000	75.92	NE
Rv0262c	aac	aminoglycoside 2'-N-acetyltransferase	8	0	0	8	0	0.8750	79.29	NE
Rv0263c		hypothetical protein	17	0	0	17	0	0.8824	51.60	NE
Rv0264c		hypothetical protein	10	0	0	10	0	0.9000	228.78	NE
Rv0265c		iron ABC transporter substrate-binding lipoprotein	9	0	0	9	0	1.0000	248.00	NE
Rv0266c	oplA	5-oxoprolinase OplA	43	0	0	43	0	0.9535	227.00	NE
Rv0267	narU	nitrite extrusion protein NarU	16	0	0	2	14	1.0000	346.94	GA
Rv0268c		hypothetical protein	13	0	0	0	13	1.0000	416.00	GA
Rv0269c		hypothetical protein	11	0	0	11	0	0.9091	226.60	NE
Rv0270	fadD2	fatty-acid--CoA ligase FadD2	26	0	0	26	0	0.9615	249.84	NE
Rv0271c	fadE6	acyl-CoA dehydrogenase FadE6	35	0	0	35	0	0.9714	134.38	NE
Rv0272c		hypothetical protein	16	0	0	16	0	0.7500	79.50	NE
Rv0273c		transcriptional regulator	17	0	0	17	0	0.8824	95.60	NE
Rv0274		hypothetical protein	9	0	0	9	0	0.8889	131.75	NE
Rv0275c		transcriptional regulator	10	0	0	10	0	0.8000	82.25	NE
Rv0276		hypothetical protein	18	0	0	18	0	0.8889	173.12	NE
Rv0277c	vapC25	ribonuclease VapC25	7	0	0	7	0	1.0000	210.43	NE
Rv0278c		PE-PGRS family protein PE_PGRS3	27	0	0	27	0	0.8519	66.43	NE
Rv0279c	PE_PGRS4	PE-PGRS family protein PE_PGRS4	20	0	0	20	0	1.0000	74.25	NE
Rv0280	PPE3	PPE family protein PPE3	26	0	0	26	0	0.9615	233.28	NE
Rv0281		S-adenosylmethionine-dependent methyltransferase	14	0	0	14	0	1.0000	162.57	NE
Rv0282	eccA3	ESX-3 secretion system protein EccA	24	23	0	1	0	0.1250	71.33	ES
Rv0283	eccB3	ESX-3 secretion system protein EccB3	24	24	0	0	0	0.0417	1.00	ES
Rv0284	eccC3	ESX-3 secretion system protein EccC3	61	61	0	0	0	0.0164	1.00	ES
Rv0285	PE5	PE family protein PE5	5	5	0	0	0	0.0000	0.00	ES
Rv0286	PPE4	PPE family protein PPE4	32	30	0	2	0	0.1875	9.17	ES
Rv0287	esxG	ESAT-6 like protein EsxG	5	0	5	0	0	0.2000	21.00	GD
Rv0288	esxH	ESAT-6-like protein EsxH	8	0	8	0	0	0.1250	2.00	GD
Rv0289	espG3	ESX-3 secretion-associated protein EspG3	14	0	13	1	0	0.1429	81.50	GD
Rv0290	eccD3	ESX-3 secretion system protein EccD	19	19	0	0	0	0.0000	0.00	ES
Rv0291	mycP3	membrane-anchored mycosin MycP	13	13	0	0	0	0.0000	0.00	ES
Rv0292	eccE3	ESX-3 secretion system protein EccE	17	15	0	2	0	0.1765	94.67	ES
Rv0293c		hypothetical protein	27	0	0	27	0	1.0000	144.41	NE
Rv0294	tam	trans-aconitate methyltransferase	15	0	0	15	0	0.8667	125.54	NE
Rv0295c		hypothetical protein	10	0	0	10	0	0.9000	110.00	NE
Rv0296c		sulfatase	43	0	0	43	0	1.0000	172.33	NE
Rv0297	PE_PGRS5	PE-PGRS family protein PE_PGRS5	14	0	0	14	0	0.8571	81.25	NE
Rv0298		antitoxin	5	0	0	5	0	1.0000	186.20	NE
Rv0299		toxin	3	0	0	3	0	1.0000	216.67	NE
Rv0300	vapB2	antitoxin VapB2	5	0	0	5	0	1.0000	385.00	NE
Rv0301	vapC2	ribonuclease VapC2	8	0	0	8	0	1.0000	331.12	NE
Rv0302		transcriptional regulator	8	0	0	8	0	1.0000	210.62	NE
Rv0303		dehydrogenase/reductase	13	0	0	13	0	1.0000	282.92	NE
Rv0304c	PPE5	PPE family protein PPE5	137	0	0	137	0	0.9635	194.12	NE
Rv0305c	PPE6	PPE family protein PPE6	61	0	0	61	0	0.9344	180.56	NE
Rv0306		oxidoreductase	9	0	0	9	0	1.0000	226.33	NE
Rv0307c		hypothetical protein	9	0	0	9	0	1.0000	204.78	NE
Rv0308		integral membrane protein	16	0	0	16	0	0.8750	189.36	NE
Rv0309		hypothetical protein	13	0	0	13	0	1.0000	89.23	NE
Rv0310c		hypothetical protein	12	0	0	12	0	0.8333	95.90	NE
Rv0311		hypothetical protein	17	0	0	17	0	0.9412	143.81	NE
Rv0312		hypothetical protein	22	0	0	22	0	0.7273	69.69	NE
Rv0313		hypothetical protein	6	0	0	6	0	1.0000	363.33	NE
Rv0314c		membrane protein	7	0	0	7	0	0.8571	598.00	NE
Rv0315		beta-1%2C3-glucanase	11	0	0	11	0	1.0000	278.82	NE
Rv0316		muconolactone isomerase	8	0	0	8	0	1.0000	82.50	NE
