locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
BQ2027_MB1334,rfe,0,1460753,1461967,1,76,0.00274223034734918,1215,3,probable undecapaprenyl-phosphate alpha-n-acetylglucosaminyltransferase rfe (udp-glcnac transferase)
BQ2027_MB1342,atpD,0,1468299,1469759,1,28,0.00228136882129278,1461,3,PROBABLE ATP SYNTHASE BETA CHAIN ATPD
BQ2027_MB1348,murA,0,1472766,1474022,1,80,0.00265017667844523,1257,3,PROBABLE UDP-N-ACETYLGLUCOSAMINE 1-CARBOXYVINYLTRANSFERASE MURA
BQ2027_MB1360C,PE_PGRS24,0,1490598,1492409,-1,23,0.00183936235438381,1812,3,pe-pgrs family protein pe_pgrs24
BQ2027_MB1414,pyrR,0,1553742,1554323,1,5,0.00190839694656489,582,1,PROBABLE PYRIMIDINE OPERON REGULATORY PROTEIN PYRR
BQ2027_MB1441,fmt,0,1582882,1583820,1,17,0.00236406619385343,939,2,PROBABLE METHIONYL-TRNA FORMYLTRANSFERASE FMT
BQ2027_MB1447,ribC,0,1589283,1589888,1,1,0.00183150183150183,606,1,PROBABLE RIBOFLAVIN SYNTHASE ALPHA CHAIN RIBC (RIBE)
BQ2027_MB1467,BQ2027_MB1467,0,1610565,1611986,1,4,0.00234375,1422,3,PROBABLE DEHYDROGENASE
BQ2027_MB1498,BQ2027_MB1498,0,1651871,1652671,1,2,0.00277392510402219,801,2,PROBABLE CONSERVED ATP-BINDING PROTEIN ABC TRANSPORTER
BQ2027_MB1567,BQ2027_MB1567,0,1731267,1732193,1,10,0.00239520958083832,927,2,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC
BQ2027_MB1598,BQ2027_MB1598,0,1768314,1768823,1,2,0.00217864923747277,510,1,conserved protein
BQ2027_MB1622,nadC,0,1787163,1788020,1,10,0.00258732212160414,858,2,Probable nicotinate-nucleotide pyrophosphatase nadC
BQ2027_MB1640,lgt,0,1802946,1804352,1,87,0.00236779794790845,1407,3,Possible prolipoprotein diacylglyceryl transferases Lgt
BQ2027_MB1683,argD,0,1858518,1859720,1,2,0.00184672206832872,1203,2,Probable Acetylornithine aminotransferase argD
BQ2027_MB1706,fadE16,0,1893104,1894225,1,25,0.00198019801980198,1122,2,POSSIBLE ACYL-COA DEHYDROGENASE FADE16
BQ2027_MB1807C,BQ2027_MB1807C,0,2006948,2007397,-1,36,0.00246913580246914,450,1,unknown protein
BQ2027_MB1858,garA,0,2067469,2067957,1,1,0.00226757369614512,489,1,Glycogen accumulation regulator GarA
BQ2027_MB2034C,BQ2027_MB2034C,0,2242180,2242611,-1,1,0.0025706940874036,432,1,Transcriptional regulator, MarR family
BQ2027_MB2162,lppL,0,2382139,2383215,1,3,0.00206185567010309,1077,2,Probable conserved lipoprotein LppL
BQ2027_MB2163,pyrD,0,2383529,2384602,1,2,0.00206825232678387,1074,2,probable dihydroorotate dehydrogenase pyrd
BQ2027_MB2178C,ftsW,0,2398273,2399847,-1,103,0.00211565585331453,1575,3,FtsW-like protein FtsW
BQ2027_MB2190C,mraZ,0,2414230,2414661,-1,1,0.0025706940874036,432,1,Transcriptional regulator MraZ
BQ2027_MB2201C,BQ2027_MB2201C,0,2425256,2425762,-1,1,0.00218818380743982,507,1,3'-5' exoribonuclease Rv2179c (EC
BQ2027_MB2244,glnA1,0,2471173,2472609,1,99,0.00231839258114374,1437,3,GLUTAMINE SYNTHETASE GLNA1 (GLUTAMINE SYNTHASE) (GS-I)
BQ2027_MB2245C,glnE,0,2472927,2475911,-1,13,0.0026051358392259,2985,7,GLUTAMATE-AMMONIA-LIGASE ADENYLYLTRANSFERASE GLNE (Glutamine-synthetase adenylyltransferase)
BQ2027_MB2246C,glnA2,0,2475960,2477300,-1,3,0.00248550124275062,1341,3,PROBABLE GLUTAMINE SYNTHETASE GLNA2 (GLUTAMINE SYNTHASE) (GS-II)
BQ2027_MB2249,panB,0,2481300,2482145,1,2,0.0026246719160105,846,2,3-methyl-2-oxobutanoate hydroxymethyltransferase panb
BQ2027_MB2263C,BQ2027_MB2263C,0,2494735,2495211,-1,1,0.00232558139534884,477,1,cell redox homeostasis
BQ2027_MB2267,fabD,0,2500346,2501254,1,2,0.00244200244200244,909,2,MALONYL CoA-ACYL CARRIER PROTEIN TRANSACYLASE FABD (Malonyl CoA:AcpM acyltransferase) (MCT)
BQ2027_MB2303C,BQ2027_MB2303C,0,2536945,2537883,-1,3,0.00236406619385343,939,2,Probable transcription regulator (lysR family)
BQ2027_MB2385C,era,0,2618253,2619155,-1,2,0.002460024600246,903,2,PROBABLE GTP-BINDING PROTEIN ERA
BQ2027_MB2422C,subI,0,2669124,2670194,-1,3,0.0020746887966805,1071,2,PROBABLE SULFATE-BINDING LIPOPROTEIN SUBI
BQ2027_MB2454,ahpC,0,2698767,2699354,1,1,0.00188679245283019,588,1,ALKYL HYDROPEROXIDE REDUCTASE C PROTEIN AHPC (ALKYL HYDROPEROXIDASE C)
BQ2027_MB2535,BQ2027_MB2535,0,2793646,2794467,1,16,0.0027027027027027,822,2,POSSIBLE CONSERVED PROLINE RICH MEMBRANE PROTEIN
BQ2027_MB2537,BQ2027_MB2537,0,2795886,2796692,1,11,0.00275103163686382,807,2,probable short-chain type dehydrogenase/reductase
BQ2027_MB2543C,BQ2027_MB2543C,0,2802085,2802546,-1,1,0.00240384615384615,462,1,regulated by general enzymatic activity
BQ2027_MB2581C,BQ2027_MB2581C,0,2842639,2843058,-1,3,0.00264550264550265,420,1,probable type IV peptidase
BQ2027_MB2617C,secF,0,2884542,2885870,-1,36,0.0025062656641604,1329,3,PROBABLE PROTEIN-EXPORT MEMBRANE PROTEIN SECF
BQ2027_MB2623C,ruvB,0,2895067,2896101,-1,23,0.00214592274678112,1035,2,PROBABLE HOLLIDAY JUNCTION DNA HELICASE RUVB
BQ2027_MB2624C,ruvA,0,2896098,2896688,-1,1,0.0018796992481203,591,1,PROBABLE HOLLIDAY JUNCTION DNA HELICASE RUVA
BQ2027_MB2625C,ruvC,0,2896685,2897251,-1,1,0.00195694716242661,567,1,PROBABLE CROSSOVER JUNCTION ENDODEOXYRIBONUCLEASE RUVC (HOLLIDAY JUNCTION NUCLEASE) (HOLLIDAY JUNCTION RESOLVASE)
BQ2027_MB2729,sigB,0,2983509,2984480,1,4,0.00228571428571429,972,2,RNA POLYMERASE SIGMA FACTOR SIGB
BQ2027_MB2769C,ftsK,0,3020841,3023492,-1,11,0.00209467951403435,2652,5,POSSIBLE CELL DIVISION TRANSMEMBRANE PROTEIN FTSK
BQ2027_MB2778C,vapc21,0,3031156,3031572,-1,3,0.00265957446808511,417,1,possible toxin vapc21
BQ2027_MB2851C,BQ2027_MB2851C,0,3095579,3096466,-1,4,0.0025,888,2,HYPOTHETICAL PROTEIN
BQ2027_MB2856C,ugpC,0,3099082,3100164,-1,11,0.00205128205128205,1083,2,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER UGPC
BQ2027_MB2867C,rimP,0,3110407,3110958,-1,1,0.00201207243460765,552,1,Bacterial ribosome SSU maturation protein RimP
BQ2027_MB2870C,proS,0,3112184,3113932,-1,3,0.0019047619047619,1749,3,probable prolyl-trna synthetase pros (proline--trna ligase) (prors) (global rna synthesis factor) (proline translase)
BQ2027_MB2906C,frr,0,3152571,3153128,-1,3,0.00198807157057654,558,1,RIBOSOME RECYCLING FACTOR FRR (RIBOSOME RELEASING FACTOR) (RRF)
BQ2027_MB3012C,leuC,0,3305626,3307047,-1,3,0.00234375,1422,3,PROBABLE 3-ISOPROPYLMALATE DEHYDRATASE (LARGE SUBUNIT) LEUC (ISOPROPYLMALATE ISOMERASE) (ALPHA-IPM ISOMERASE) (IPMI)
BQ2027_MB3077C,nrdE,0,3373057,3375138,-1,283,0.00213447171824973,2082,4,ribonucleoside-diphosphate reductase (alpha chain) nrde (ribonucleotide reductase small subunit) (r1f protein)
BQ2027_MB3112,BQ2027_MB3112,0,3411879,3412709,1,7,0.00267379679144385,831,2,PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE
BQ2027_MB3222C,uvrD2,0,3528065,3530167,-1,39,0.00264131008980454,2103,5,probable atp-dependent dna helicase ii uvrd2
BQ2027_MB3257,BQ2027_MB3257,0,3563735,3564727,1,8,0.00223713646532438,993,2,Ribosome small subunit biogenesis RbfA-release protein RsgA
BQ2027_MB3273C,mtrB,0,3583920,3585623,-1,3,0.00195567144719687,1704,3,TWO COMPONENT SENSORY TRANSDUCTION HISTIDINE KINASE MTRB
BQ2027_MB3283C,manA,0,3594051,3595277,-1,7,0.00180995475113122,1227,2,PROBABLE MANNOSE-6-PHOSPHATE ISOMERASE MANA (PHOSPHOMANNOSE ISOMERASE) (PHOSPHOMANNOISOMERASE) (PMI) (PHOSPHOHEXOISOMERASE) (PHOSPHOHEXOMUTASE)
BQ2027_MB3293C,wbbL1,0,3604989,3605882,-1,2,0.00248447204968944,894,2,dtdp-rha:a-d-glcnac-diphosphoryl polyprenol,a-3-l-rhamnosyl transferase wbbl1 (alpha-l-rhamnose-(1->3)-alpha-d-glcnac(1->p)-p-decaprenyl)
BQ2027_MB3307C,birA,0,3620210,3621010,-1,2,0.00277392510402219,801,2,POSSIBLE BIFUNCTIONAL PROTEIN BIRA: BIOTIN OPERON REPRESSOR + BIOTIN--[ACETYL-COA-CARBOXYLASE] SYNTHETASE (BIOTIN--PROTEIN LIGASE)
BQ2027_MB3308,accD5,0,3621060,3622706,1,84,0.00202292650033715,1647,3,PROBABLE PROPIONYL-COA CARBOXYLASE BETA CHAIN 5 ACCD5 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE)
BQ2027_MB3445C,guaB2,0,3786971,3788560,-1,16,0.00209643605870021,1590,3,PROBABLE INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE GUAB2 (IMP DEHYDROGENASE) (INOSINIC ACID DEHYDROGENASE) (INOSINATE DEHYDROGENASE) (IMP OXIDOREDUCTASE) (INOSINE-5'-MONOPHOSPHATE OXIDOREDUCTASE) (IMPDH) (IMPD)
BQ2027_MB3487C,rpsD,0,3830768,3831373,-1,1,0.00183150183150183,606,1,30s ribosomal protein s4 rpsd
BQ2027_MB3520,otsA,0,3858272,3859774,1,33,0.00221729490022173,1503,3,alpha, alpha-trehalose-phosphate synthase [udp-forming] otsa (trehalose-6-phosphate synthase) (udp-glucose-glucosephosphate glucosyltransferase) (trehalosephosphate-udp glucosyltransferase) (trehalose-6-phosphate synthetase) (trehalose-phosphate synthase) (trehalose-phosphate synthetase) (transglucosylase) (trehalosephosphate-udp glucosyl transferase)
BQ2027_MB3615,lpqE,0,3973457,3974005,1,11,0.00202020202020202,549,1,POSSIBLE CONSERVED LIPOPROTEIN LPQE
BQ2027_MB3633C,BQ2027_MB3633C,0,3992860,3993771,-1,8,0.00243605359317905,912,2,Ketopantoate reductase PanG (EC
BQ2027_MB3637C,folB,0,3996397,3996798,-1,1,0.00276243093922652,402,1,PROBABLE DIHYDRONEOPTERIN ALDOLASE FOLB (DHNA)
BQ2027_MB3652,ppa,0,4009072,4009560,1,1,0.00226757369614512,489,1,INORGANIC PYROPHOSPHATASE PPA (PYROPHOSPHATE PHOSPHO-HYDROLASE) (PPASE) (INORGANIC DIPHOSPHATASE) (DIPHOSPHATE PHOSPHO-HYDROLASE)
BQ2027_MB3658C,galE1,0,4014316,4015260,-1,5,0.00235017626321974,945,2,UDP-GLUCOSE 4-EPIMERASE GALE1 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE)
BQ2027_MB3695C,BQ2027_MB3695C,0,4054081,4055274,-1,2,0.00186046511627907,1194,2,membrane-associated serine protease
BQ2027_MB3705,BQ2027_MB3705,0,4061554,4062714,1,4,0.00191387559808612,1161,2,PROBABLE ANION TRANSPORTER ATPASE
BQ2027_MB3778C,BQ2027_MB3778C,0,4139953,4140411,-1,2,0.00241545893719807,459,1,POSSIBLE CYTIDINE/DEOXYCYTIDYLATE DEAMINASE
BQ2027_MB3819,dpre1,0,4176486,4177871,1,10,0.00240384615384615,1386,3,decaprenylphosphoryl-beta-d-ribose 2'-oxidase
